sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
52,36.60188413117301,0.9610562537738168,150.75978088378906,3.2056636810302734,0.28783110342929386,942.00732421875,939.5594482421875,True,10,0.0001,0.001,0.9
53,25.284240983318597,0.908295325869531,2369.529541015625,3.235757827758789,0.3146220116832172,774.2120971679688,894.9324951171875,True,10,0.0001,0.0464158883361277,0.9
54,24.572906705441913,0.923654371328552,1247.8052978515625,1.9709711074829102,0.3700225434334621,500.0113525390625,598.3020629882812,True,10,0.0001,0.0215443469003188,0.9
55,37.08381170738212,0.960035520679749,164.91586303710938,5.9235687255859375,0.2064542534265427,1133.1842041015625,921.9523315429688,True,10,0.0001,0.01,0.9
56,31.614924438829558,0.9570879864249805,5.474442005157471,0.4526134431362152,0.3188830432146878,88.09661865234375,89.40400695800781,True,10,0.0001,0.0046415888336127,0.9
57,33.920349288798455,0.9668148623931273,11.771889686584473,1.3681819438934326,0.4099536457730249,163.4039306640625,196.78688049316406,True,10,0.0001,0.001,0.9
58,26.074803550740558,0.939742306660634,5.264291286468506,0.8167698979377747,0.25098061414809436,54.146446228027344,46.18206024169922,True,10,0.0001,0.0464158883361277,0.9
59,33.432795254983574,0.9834610558854046,48.19202423095703,3.817256450653076,0.1929457867136379,388.923828125,326.0050048828125,True,10,0.0001,0.01,0.9
60,37.39538307462577,0.9684579119286177,26.12737274169922,1.6254650354385376,0.21595590203896087,430.18487548828125,389.2886047363281,True,10,0.0001,0.01,0.9
61,24.390463708883416,0.8971144079190599,247.30349731445312,1.556736946105957,0.33073279279385664,186.07305908203125,272.07769775390625,True,10,0.0001,0.0021544346900318,0.9
62,25.17173524963229,0.9374965489527232,2085.44091796875,5.924770832061768,0.280914261063281,765.0040893554688,828.9087524414062,True,10,0.0001,0.01,0.9
63,21.233565173822853,0.8486928493371984,953.90771484375,2.6358423233032227,0.322456958735398,380.55450439453125,357.3965759277344,True,10,0.0001,0.0464158883361277,0.9
64,21.73622110498668,0.8630205367609399,531.4884643554688,1.846306562423706,0.268997721966682,334.13446044921875,281.653564453125,True,10,0.0001,0.0215443469003188,0.9
65,20.38564693929198,0.8372527548959658,2645.267822265625,1.9121081829071045,0.40021181038297426,422.8307189941406,543.1533813476562,True,10,0.0001,0.01,0.9
66,28.66441500035514,0.9594120145828239,27.321550369262695,0.5563822388648987,0.21448940730295477,132.08096313476562,141.78329467773438,True,10,0.0001,0.0464158883361277,0.9
67,31.728755398718075,0.9486393453351485,391.0368957519531,5.973811626434326,0.3359276809055233,787.0966796875,802.394775390625,True,10,0.0001,0.0046415888336127,0.9
68,31.41594818310604,0.9542534671900689,3.518472671508789,0.4144348204135895,0.29126466002015167,66.04283142089844,75.47608947753906,True,10,0.0001,0.0021544346900318,0.9
69,28.278421141278685,0.9646169212334419,1438.259765625,10.908994674682617,0.20794401172680158,1162.3680419921875,986.9000244140625,True,10,0.0001,0.0004641588833612,0.9
70,30.785289069966826,0.9768573313151843,497.4391784667969,5.7423014640808105,0.35384001837037077,721.37646484375,772.4725341796875,True,10,0.0001,0.0464158883361277,0.9
71,23.789880550627302,0.7772395780980534,159.9386749267578,2.951263189315796,0.579119254685626,135.6865692138672,199.5169677734375,True,10,0.0001,0.0046415888336127,0.9
72,29.379535673136804,0.9716482526777452,0.0489610880613327,0.020060960203409195,0.2043450454517516,6.299463272094727,6.516594886779785,True,10,0.0001,0.0215443469003188,0.9
73,20.723127826712116,0.8599183037587547,5537.66015625,3.6501312255859375,0.1746651637570216,1098.9696044921875,815.64599609375,True,10,0.0001,0.0215443469003188,0.9
74,25.219844012834617,0.8518677719836762,1465.575439453125,7.601645469665527,0.2008076793544751,710.419921875,707.1505126953125,True,10,0.0001,0.0021544346900318,0.9
75,26.700910066718976,0.8755403738766832,1134.498291015625,9.927159309387207,0.11196370033691648,1431.8375244140625,729.2781372070312,True,10,0.0001,0.0215443469003188,0.9
76,25.186658221033255,0.9403911328271908,1798.23876953125,2.8214781284332275,0.29556119881488796,663.3198852539062,771.4990844726562,True,10,0.0001,0.01,0.9
77,32.29836356081306,0.9682964839664037,3.30725359916687,0.3739180862903595,0.20067377948811113,81.80844116210938,74.9706039428711,True,10,0.0001,0.0215443469003188,0.9
78,36.275224600010645,0.9739983993494966,30.32970428466797,2.7918994426727295,0.23411323920699104,437.1838073730469,359.1072692871094,True,10,0.0001,0.0215443469003188,0.9
79,31.488134747941675,0.939533831280636,8.998270034790039,1.0043258666992188,0.3259737939129409,117.2458724975586,116.75318908691406,True,10,0.0001,0.01,0.9
80,26.353140189946735,0.911690339096942,1644.727294921875,7.170937538146973,0.30244912072922187,749.1129150390625,863.2402954101562,True,10,0.0001,0.0021544346900318,0.9
81,26.748991074679974,0.933635742884606,816.14208984375,4.211893081665039,0.35306504368240904,508.4131164550781,623.6748046875,True,10,0.0001,0.01,0.9
82,29.812772000224204,0.9739456194596148,114.5551986694336,2.533144474029541,0.46136374096791444,308.98248291015625,331.567138671875,True,10,0.0001,0.0464158883361277,0.9
83,39.291842580665836,0.9657380358999359,0.4847645163536072,0.320132851600647,0.27240544801744365,77.53053283691406,64.49478912353516,True,10,0.0001,0.0215443469003188,0.9
84,23.958765617361664,0.9192371387092322,389.66314697265625,1.219064474105835,0.45359937631564157,232.6772918701172,311.67132568359375,True,10,0.0001,0.01,0.9
85,24.551162745246945,0.9294855190466002,369.8965759277344,1.2524611949920654,0.3403473871238683,169.2255401611328,325.8581237792969,True,10,0.0001,0.0215443469003188,0.9
86,30.281247913894628,0.9358429479248384,476.8370056152344,13.596622467041016,0.19225005848293217,1335.3380126953125,729.8765869140625,True,10,0.0001,0.0046415888336127,0.9
87,31.65142766575206,0.9396264978114542,266.7709045410156,6.074254989624023,0.21818620421642337,723.8743286132812,637.919921875,True,10,0.0001,0.0046415888336127,0.9
88,24.104093781558888,0.9024759570119366,3057.232177734375,1.7582166194915771,0.3121708369799168,664.2745971679688,887.3255004882812,True,10,0.0001,0.0215443469003188,0.9
89,24.612075828521963,0.9019531419268119,765.064697265625,3.432749032974243,0.3717166997172839,349.5990295410156,472.7427062988281,True,10,0.0001,0.01,0.9
90,37.37026589742697,0.9698125739938458,2.616725206375122,0.43797925114631653,0.1512015083994643,135.6438446044922,120.47465515136719,True,10,0.0001,0.0021544346900318,0.9
91,24.167493393344817,0.9189964668561923,1947.4813232421875,2.9803097248077393,0.4634249952021759,549.2474975585938,713.5315551757812,True,10,0.0001,0.0215443469003188,0.9
92,35.35388096405483,0.9627085036153149,168.70956420898438,4.1945648193359375,0.308173254481855,830.279296875,761.0242919921875,True,10,0.0001,0.0464158883361277,0.9
93,30.82200811042531,0.9476493726204792,260.9708251953125,4.190784931182861,0.301207725966422,656.6987915039062,561.7159423828125,True,10,0.0001,0.0464158883361277,0.9
94,30.953201672248483,0.9521249598978228,463.9679260253906,5.4271650314331055,0.2745517129462554,722.5107421875,771.1962280273438,True,10,0.0001,0.01,0.9
95,37.35288005975852,0.9839799862097415,44.85430908203125,1.7281934022903442,0.2436481728166651,456.1485900878906,494.3017883300781,True,10,0.0001,0.0215443469003188,0.9
96,41.06478221777238,0.9877449830280861,21.40419578552246,1.95941960811615,0.14654055592650428,665.3733520507812,523.2100830078125,True,10,0.0001,0.0215443469003188,0.9
97,34.63835010934445,0.9857041341539999,62.91524124145508,1.879012942314148,0.4318003096841011,390.1365661621094,428.11346435546875,True,10,0.0001,0.0464158883361277,0.9
98,26.11836271712412,0.9219873429357623,1.6801716089248657,0.2568148672580719,0.323287793954055,23.568683624267578,26.393707275390625,True,10,0.0001,0.0215443469003188,0.9
99,24.338240733309608,0.8802499152927575,43.556968688964844,1.1869330406188965,0.277220228726923,107.30462646484375,108.78353881835938,True,10,0.0001,0.0464158883361277,0.9
100,32.01110228610064,0.9686675655921793,0.6601825952529907,0.2225099802017212,0.24236901494824614,41.390621185302734,32.39775466918945,True,10,0.0001,0.1,0.9
101,28.263083073120274,0.9126026235062867,273.63818359375,1.6650153398513794,0.7532474758428951,223.50709533691406,636.7739868164062,True,10,0.0001,0.0021544346900318,0.9
102,26.154174391279245,0.9074198650693572,203.71604919433594,1.3669286966323853,0.3917752884399483,211.07272338867188,315.0416259765625,True,10,0.0001,0.0464158883361277,0.9
103,27.926604650409406,0.9639330027150173,417.6370544433594,3.3258814811706543,0.30176247678997425,488.0210266113281,509.0621337890625,True,10,0.0001,0.0215443469003188,0.9
104,24.202823963959744,0.8916721711547436,2975.647705078125,8.80579948425293,0.24098732704948322,1143.572021484375,907.658935546875,True,10,0.0001,0.0046415888336127,0.9
105,23.080154630290032,0.9146011786418126,306.5025634765625,1.1631673574447632,0.47044186128345183,162.17794799804688,250.04293823242188,True,10,0.0001,0.0215443469003188,0.9
106,27.911456805798053,0.9667398126101961,272.7256164550781,2.2756547927856445,0.3407406599408868,358.8088073730469,410.9725341796875,True,10,0.0001,0.0215443469003188,0.9
107,24.719442480963714,0.9346099454290604,1926.8153076171875,2.563573122024536,0.41903176134402975,626.3121948242188,755.7955932617188,True,10,0.0001,0.0004641588833612,0.9
108,26.53161063456062,0.8811041994262544,117.00987243652344,2.261514186859131,0.16295318775754733,381.6365966796875,229.56936645507812,True,10,0.0001,0.0464158883361277,0.9
109,22.855620857794268,0.8869103325763477,31.412260055541992,0.14662785828113556,0.3179987832086313,51.991607666015625,77.9029312133789,True,10,0.0001,0.01,0.9
110,32.8129016210008,0.954270985373464,44.080020904541016,3.9532015323638916,0.16814024223412397,387.5992736816406,290.4617004394531,True,10,0.0001,0.01,0.9
111,30.61497495078923,0.9667824431254276,17.95418930053711,0.5196581482887268,0.49632408351900725,119.56587219238281,162.06005859375,True,10,0.0001,0.0046415888336127,0.9
112,29.185618525445634,0.884821646938137,1031.3511962890625,20.292028427124023,0.21330365851037913,1351.975341796875,929.7679443359375,True,10,0.0001,0.0046415888336127,0.9
113,35.952210763693145,0.9685062814207884,165.9022979736328,6.223559856414795,0.2683862696888149,904.5658569335938,808.312255859375,True,10,0.0001,0.0464158883361277,0.9
114,24.389267463643254,0.8607245053692555,1437.03955078125,6.97278356552124,0.20169307445583146,635.656982421875,633.7703247070312,True,10,0.0001,0.0021544346900318,0.9
115,22.35605647302133,0.8692626179832921,4405.05615234375,13.22767162322998,0.20502485742647633,1153.3548583984375,871.589111328125,True,10,0.0001,0.0215443469003188,0.9
