sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,alpha_init,reg_fct_type,sampling_param,best_anis_param,best_anis_idx,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
59,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,86.53099036216736,38.00666491801931,0.9884338739278846,0.0001581756555175,37.791148937358415,0.9858939390714384,0.00016622304777,0.0236069788278362
60,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.01,6,100000,86.17186498641968,36.139910465606576,0.9659533583481518,0.00023019695122,36.3543780500249,0.9698338340646526,0.000219105262685,0.0266117130284975
61,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,86.3722836971283,34.170786035855045,0.932402682384712,0.0003514083732157,35.27731779643179,0.9496356078641836,0.0002723697858888,0.0265486570618822
62,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.1,9,100000,86.52583026885986,38.00433380440924,0.9861575316164134,0.0001580973391172,38.65523035722953,0.9894825796277936,0.0001360927234825,0.019768385595728
63,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,86.47755718231201,33.97092581858772,0.9638391802383568,0.0003976211408361,34.373127775354085,0.9684874087334328,0.0003624509741714,0.022988219246873
64,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,86.28734421730042,36.41335161229252,0.973628805995904,0.0002282181842179,36.04770416432045,0.9720556563762566,0.0002482647100103,0.0288165917584985
65,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.001,3,100000,86.24385690689087,34.394359200460336,0.9635060365964222,0.0003562488262868,34.041394748127914,0.9772892215059842,0.0003864113615772,0.0269275169337108
66,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.2154434690031882,10,100000,86.16610789299011,37.96515072070159,0.9838037877066584,0.0001596546730011,37.97501881860533,0.9864696351660098,0.0001592923153286,0.0193819132853311
67,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,86.36025643348694,34.775212098383946,0.9583410365772654,0.0003011589987695,35.297166178151514,0.9709774807503088,0.0002670548297179,0.0248345147919765
68,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0001,0,100000,86.26252722740173,30.10930372352889,0.904082979376282,0.0008344490678362,29.76181260006755,0.9448151635423728,0.0009039594436548,0.0324266240235326
69,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0021544346900318,4,100000,85.8794858455658,35.80481980812878,0.960136848688476,0.0002610063790872,35.45988026338869,0.9715916293635812,0.0002825823784869,0.0284735462045734
70,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.1,9,100000,86.01974129676819,42.28532682086264,0.9908845517990242,5.901603698895813e-05,42.42495018200072,0.99503917597503,5.714887776238286e-05,0.0199025433887644
71,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.01,6,100000,86.42268347740173,32.176680254852066,0.9494428795314734,0.0005825239450104,32.945256492684635,0.9609797404252016,0.0004880408313259,0.0308150103313127
72,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.1,9,100000,86.3236243724823,42.39582611595597,0.9917580091261698,5.756792368569289e-05,41.91320822422512,0.9922096831100586,6.433426670122816e-05,0.018637177732261
73,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.1,9,100000,87.29936647415161,26.95101536147796,0.9314589157729928,0.0019839657390484,26.92496306632338,0.9339065817905708,0.0019959028467564,0.0206397720679455
74,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.01,6,100000,85.84405827522278,33.6512369894153,0.9373590556401904,0.0004205766262927,34.798732475663186,0.9493520849892716,0.0003229204762464,0.0319250035092512
75,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,86.7269299030304,39.153297484438816,0.9761234974791058,0.0001212770764438,39.1641906051054,0.982694310431236,0.0001209732663631,0.0302879544688937
76,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.1,9,100000,87.19699287414551,36.9010297778484,0.9851501725706306,0.0002035819914781,36.65766606025071,0.9868158056458218,0.0002153157159073,0.0174433335486095
77,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,87.28512167930603,39.02097016329441,0.9697597007233512,0.0001251482572879,42.02601432581544,0.9911817910452966,6.264990115161297e-05,0.020632690351842
78,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,86.56862616539001,35.35991659843492,0.9560256219688408,0.0002903692566391,36.19485578242214,0.9775898727401204,0.0002395833947804,0.025863076181323
79,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0001,0,100000,87.65160322189331,26.36203055142337,0.8456484714822754,0.0021489779505569,29.04373048150072,0.894835040224547,0.0011589427058282,0.0343868946612291
80,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,86.901531457901,31.576995623686564,0.942600312694292,0.0006628953171529,32.356227465380094,0.9587041907346006,0.0005540153105693,0.0253473540325259
81,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,86.61584711074829,36.29950699802154,0.9591493722635228,0.0002327007539249,36.62665540763589,0.9698154410030712,0.0002158156573462,0.024751434267942
82,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.1,9,100000,87.80590987205505,41.81582210649837,0.9920654259012875,6.570021582567376e-05,42.38964797944541,0.9942394635398376,5.756840658307492e-05,0.0191696816193955
83,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0004641588833612,2,100000,86.73186016082764,36.16396015497272,0.9446573095839996,0.0002394802810649,34.217267268382386,0.935557323192602,0.0003749203794024,0.0327213307039937
84,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0464158883361277,8,100000,86.71555018424988,37.858042159935295,0.9747827751559608,0.0001634436270145,39.6310138953389,0.988175318875784,0.0001086602794776,0.0197804339263855
85,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0215443469003188,7,100000,85.77432227134705,33.438615693168146,0.9451043841113634,0.0004500677509797,33.77174826203507,0.947561014807084,0.0004168354420186,0.0256768984104645
86,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,86.72733211517334,34.6751246928802,0.9475049293920116,0.0003254493426657,35.55155111758627,0.9582438153008026,0.000265974962439,0.0283294397161788
87,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.01,6,100000,86.7356915473938,35.040174100496905,0.9427343869574496,0.0003004218543171,36.29692127715535,0.9527230883130848,0.0002249348796426,0.0283300756759893
88,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.2154434690031882,10,100000,86.83668899536133,40.381344294440055,0.9900376764274756,9.15034397757637e-05,40.56542226344735,0.9916603194254914,8.770606436964e-05,0.0169574852254576
89,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,87.01088380813599,35.24814789229025,0.963605199137158,0.0002956931945246,35.28170840945649,0.9799529821036318,0.0002934170034434,0.0235949461517934
90,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.001,3,100000,86.65091824531555,33.157249004495945,0.938588372015619,0.0004756290780365,33.9327960059348,0.9581467167207122,0.0003978448106261,0.0283763039664789
91,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.1,9,100000,87.10740733146667,39.74606153825526,0.9806928077841456,0.0001058741958773,41.20608249810938,0.9877311070891668,7.564635889638756e-05,0.0184280708564948
92,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.2154434690031882,10,100000,86.75867009162903,39.86403009376027,0.9820972545060396,0.0001031163915462,40.3673105043908,0.988617336817442,9.18331889915479e-05,0.0180850342698266
93,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.1,9,100000,86.10246253013611,39.51765171639947,0.9873598349264666,0.0001116848204513,39.87881080733081,0.9893721006968652,0.0001027728124027,0.0219144547452251
94,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.0046415888336127,5,100000,86.4468367099762,32.78676234670642,0.9238785038511452,0.0005114487020056,33.92739504512018,0.9364678365921651,0.000393313461629,0.0313465513105202
95,0.05,False,1.0,1.0,0.05,0.1,0.01,anisotropic,0.0125,0.1,9,100000,86.57638669013977,40.69633391665924,0.9838690961363536,8.501086566509602e-05,41.730229646720346,0.989431271908388,6.700155245547535e-05,0.0176066183833618
