sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,reg_fct_type,sampling_param,best_anis_param,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
0,0.35,True,375.16557872851513,380.2491564622108,0.3477483514259539,0.1,anisotropic,0.0125,0.0046415888336127,500000,393.9104919433594,27.7456032608564,0.8885243704493583,231.3506543612747,26.79027401319169,0.890180796295707,288.27279372354616,12.492269640858432
1,0.35,True,950.7635921035062,971.1483064827736,0.2401545105821728,0.1,anisotropic,0.0125,0.1,500000,393.0398697853088,24.1864279650161,0.8933640577126366,3443.2864353994405,24.071423382077693,0.8991968380440203,3535.685357744746,25.99523865814332
2,0.35,True,732.2619478695937,512.7401422731899,0.3862585452666507,0.1,anisotropic,0.0125,0.0004641588833612,500000,392.8986058235169,32.630807203531795,0.911687177849653,272.74108464829175,30.952995241956614,0.9019533538590804,401.3578480181813,19.20465097821205
3,0.35,True,599.0598257128396,613.8210185982497,0.251250652867213,0.1,anisotropic,0.0125,0.1,500000,394.8013405799866,28.583507372833644,0.9265039965306248,459.1523263676729,28.39339524332076,0.945351452300879,479.6981041158624,15.123544483289976
4,0.35,True,156.8626218019941,142.9917597641016,0.3586154174614869,0.1,anisotropic,0.0125,0.0046415888336127,500000,394.150185585022,29.179765948345366,0.9312687041932884,29.289760679099963,28.42034169652722,0.9465465959019612,34.8865680750736,4.417705808111582
5,0.35,True,156.83852581586643,143.14381568247788,0.2984013517608786,0.1,anisotropic,0.0125,0.01,500000,395.9975860118866,30.78980607180943,0.9436956204555228,18.96667740013604,29.526444964988737,0.9466416329988454,25.370403130688192,4.556185654767759
6,0.35,True,59.02552855603126,41.16526819920769,0.3835956760634406,0.1,anisotropic,0.0125,0.0021544346900318,500000,393.8176381587982,28.83141196304325,0.929086609431029,3.7319026225900567,26.83098247764907,0.885129022959114,5.915252007591657,1.5832889691454912
7,0.35,True,866.3099696291603,556.9093526026005,0.4466306758701809,0.1,anisotropic,0.0125,0.01,500000,390.7645378112793,34.24520113765944,0.961868499033934,279.5366664282825,34.72433589733181,0.9780817081634752,250.33715123848413,15.444924454523337
8,0.35,True,601.5138967314656,729.0828117725293,0.266696900278919,0.1,anisotropic,0.0125,0.01,500000,396.2853350639343,29.717546573087542,0.9256547281506516,382.853096408261,27.639102765431065,0.9337707033412672,617.8407437954025,23.411299224133376
9,0.35,True,708.3645052182494,640.9019727910177,0.247388627600497,0.1,anisotropic,0.0125,0.0464158883361277,500000,396.6836898326874,19.32664272143026,0.7658683225833616,5777.688068696777,19.45456690445399,0.7927176765872556,5609.984647313333,21.01816860272368
