sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,reg_fct_type,sampling_param,best_anis_param,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
15,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.01,500000,399.4717881679535,35.4238809926271,0.9551658378015286,0.0002863550473092,30.5558970213808,0.9371225801331629,0.0008784220716633,0.0292098049353837
16,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0464158883361277,500000,400.1397969722748,33.633582377626695,0.979896355851528,0.0004317303513139,32.18321016157384,0.9768811524267086,0.000602906273501,0.0248680308237236
17,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0464158883361277,500000,396.13673067092896,33.189225295385505,0.9747082962943954,0.0004793127590829,32.45317151530085,0.9806063273522692,0.0005678378895263,0.0296859275664432
18,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.01,500000,402.966187953949,32.761674026402,0.9520812457541882,0.0005109429895753,31.204169875533047,0.9572557629506236,0.0007313459485257,0.0306547697641391
19,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0046415888336127,500000,399.8082444667816,30.332317905894115,0.9066840542232012,0.000895465334462,29.6908992609239,0.949895530389036,0.0010379839601536,0.0299082450220807
20,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.01,500000,396.38673973083496,31.047594040704173,0.8798178051415486,0.0006722619627529,29.39315681189999,0.918755556031696,0.0009839709164084,0.0376909519797311
21,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0464158883361277,500000,395.7429692745209,35.90411308646241,0.986378321668547,0.0002565173664647,35.045582699347406,0.98855432756629,0.0003125862074458,0.0255605001633132
22,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0021544346900318,500000,391.9660942554474,28.5912860665311,0.890785542992631,0.0013568509298696,25.675455195547062,0.8728675883699261,0.002655309955183,0.0400977794377373
23,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.0464158883361277,500000,393.95583033561707,33.28467871048165,0.9604396491814848,0.0004684704136467,33.18309802821908,0.9797128604596804,0.0004795570018396,0.0314419963395972
24,0.35,False,1.0,1.0,0.35,0.1,anisotropic,0.0125,0.001,500000,395.4411280155182,28.83678953012556,0.9049878311810534,0.0013017640989632,26.99071231655366,0.9257532262530124,0.0019913152120864,0.0394860873010002
