sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,reg_fct_type,sampling_param,best_anis_param,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
700,0.07,True,533.0568431190343,485.99843908564037,0.06960476893675493,0.1,anisotropic,0.0125,0.0215443469003188,500000,371.0001494884491,34.5674259226248,0.9676144116376663,98.37939141013699,35.304106623184175,0.9866865208714347,83.03019570360172,10.711338479922713
701,0.07,True,52.771713285604484,44.20833624140947,0.07202265698165654,0.1,anisotropic,0.0125,0.0021544346900318,500000,371.5859558582306,31.849838673907197,0.9329470915312726,1.6290981544698135,30.64458682509237,0.9537872574789558,2.1501682099713704,1.3560756823171505
702,0.07,True,337.2676739157267,520.3201419310376,0.03571930879677076,0.1,anisotropic,0.0125,0.0021544346900318,500000,369.3418068885803,26.592082243335824,0.8721243999043286,247.64072201305737,23.65365757809326,0.8462281358033102,487.1520428473704,15.200922078475724
703,0.07,True,135.28026226203528,139.52886488837507,0.057628153405858897,0.1,anisotropic,0.0125,0.0021544346900318,500000,368.7837679386139,27.411262863480932,0.9164475913466176,32.794123685178576,25.391640941635572,0.9340035899329503,52.210544503546465,4.415259279140444
704,0.07,True,64.31159550229498,108.06854174570611,0.03484794953501412,0.1,anisotropic,0.0125,0.0046415888336127,500000,370.81244230270386,28.228283525832737,0.9135221567576436,6.041989438328129,25.66769413151805,0.9048522278047081,10.895292680530204,2.4180174292799053
705,0.07,True,989.9702721575553,888.7297160135257,0.06488197357687042,0.1,anisotropic,0.0125,0.0464158883361277,500000,370.3087797164917,33.54556099499403,0.9729029297959895,431.56443928099714,33.57703683253247,0.9816490753181377,428.4479488755372,17.30225328451982
706,0.07,True,323.03149112974825,336.5133007673253,0.06275839756672864,0.1,anisotropic,0.0125,0.0021544346900318,500000,376.5616886615753,34.710566371359675,0.9032317495156024,31.74426122550225,25.092820352113876,0.784722640120973,290.6965156457919,15.033489308289141
707,0.07,True,810.0645714087802,887.7684962553376,0.04766302263255187,0.1,anisotropic,0.0125,0.0464158883361277,500000,368.8314793109894,19.136844281743887,0.7748290656624004,7988.875550584042,19.426730040871,0.844361981522659,7473.036095203979,24.89808038101326
708,0.07,True,255.3860141090001,213.48789259638102,0.06623579535606662,0.1,anisotropic,0.0125,0.0046415888336127,500000,370.01266860961914,33.11654968033894,0.9620653122032954,26.389902397028507,30.80340810115032,0.9582892606972481,44.95230252967474,5.449950808275469
709,0.07,True,681.8212195017053,737.016110331484,0.05419522822997696,0.1,anisotropic,0.0125,0.0215443469003188,500000,370.53620433807373,25.234360247518506,0.9147101721390123,1391.8878169297209,23.95039609213041,0.9125959046213267,1870.684936097872,28.06930879033435
710,0.07,True,760.4676320297968,664.3275552828829,0.05361042870250149,0.1,anisotropic,0.0125,0.0021544346900318,500000,369.76603627204895,29.774716262386267,0.9474417056976732,600.9359015771396,26.408969245978238,0.8953342288669517,1304.3761592547862,19.5990041998248
711,0.07,True,596.0431018672365,867.9784644590256,0.03614111302006843,0.1,anisotropic,0.0125,0.0021544346900318,500000,371.2143921852112,29.67094304970241,0.9247162690569024,374.8753138959054,24.557062392336842,0.8523522028093368,1216.9560893830158,26.044618608531923
712,0.07,True,472.1046123616082,506.9381377616828,0.08613116807689515,0.1,anisotropic,0.0125,0.0215443469003188,500000,370.62885665893555,33.50945940543709,0.9753382791526458,99.2555105566526,30.892854791918126,0.9628730728575413,181.30721588022521,17.423404783243942
713,0.07,True,412.42907323312124,163.41041925671522,0.16272562831821272,0.1,anisotropic,0.0125,0.0464158883361277,500000,370.98436880111694,27.297905120075146,0.8959742432231275,283.1917584396639,27.425428698899882,0.909401665918307,274.9971875932222,4.473020903527196
714,0.07,True,349.5193982764523,382.5782381520707,0.06314619503092703,0.1,anisotropic,0.0125,0.0215443469003188,500000,369.09148812294006,31.65667620842996,0.9614950327316863,83.40388331151819,29.573645927223858,0.9688202616084501,134.73775290753977,10.10259554215089
715,0.07,True,929.599615103578,1312.922873085891,0.040322964341121224,0.1,anisotropic,0.0125,0.0215443469003188,500000,370.4298458099365,26.04819383359078,0.9414215227726221,2146.0899995048435,25.330225419720612,0.9205031735493262,2531.8896426744923,37.58147159549798
716,0.07,True,830.7887883799414,904.4608120031978,0.04896190217768361,0.1,anisotropic,0.0125,0.0046415888336127,500000,370.40152645111084,26.93850320971295,0.9279717353718222,1391.7026749103368,25.05512593494007,0.931521869639519,2147.257802176803,26.196091900806802
717,0.07,True,965.0618837558461,1074.1500940049443,0.057738156619003424,0.1,anisotropic,0.0125,0.0215443469003188,500000,370.61117005348206,29.121591484979454,0.9699843231762594,1140.000388900899,29.146024616145475,0.9697565561286088,1133.6048266448133,31.34719033260421
718,0.07,True,125.17292626205918,272.5434423756508,0.02953233072025685,0.1,anisotropic,0.0125,0.01,500000,380.63654136657715,33.57293418355147,0.9527972416096876,6.8717992608138925,23.623390873928717,0.8520596212523976,67.92424117688984,6.980862211662562
719,0.07,True,731.1366077284406,718.8258032116839,0.05058617853294818,0.1,anisotropic,0.0125,0.0215443469003188,500000,369.33922266960144,36.98816379461013,0.9774979635862154,106.76480297468882,36.42956810193471,0.9850605463396813,121.41928530471918,18.689664331236095
720,0.07,True,938.4021163642168,806.0808445524408,0.051170889427746315,0.1,anisotropic,0.0125,0.0215443469003188,500000,370.42945528030396,21.008277580262696,0.8674609093849485,6949.852970885086,20.744285792408327,0.8554079053957457,7385.413155337113,20.44972055366699
721,0.07,True,182.0518330994945,135.4196404892765,0.08348049764321767,0.1,anisotropic,0.0125,0.0021544346900318,500000,372.0367913246155,31.862163475999882,0.9390661357772295,21.459748500080938,30.02165852348382,0.9526911046694727,32.78499510416679,4.658047995735784
722,0.07,True,67.42977109941071,71.85043372694193,0.05311078900084657,0.1,anisotropic,0.0125,0.0046415888336127,500000,377.4758176803589,31.347913968644136,0.9285013348653898,3.2737769092260396,31.1369774420521,0.9629615250727102,3.4367087912134595,2.1095025897735207
