sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,37.15868231633695,0.9715504633537633,0.0001881554489955306,0.022510532289743423,0.25,0.4,400
1,32.38571773727947,0.8995135149162098,0.0005766325048170984,0.021113866940140724,0.25,0.4,400
2,33.57205701615947,0.9668149190413755,0.00040953652933239937,0.018225623294711113,0.25,0.4,400
3,37.91037428388951,0.9814525432077355,0.00014939281390979886,0.016716182231903076,0.25,0.4,400
4,33.59957940585804,0.9644751660102907,0.00043022495810873806,0.01911410316824913,0.25,0.4,400
5,38.70711281278722,0.9628770846731276,0.00012455327669158578,0.023587308824062347,0.25,0.4,400
6,35.74164902956533,0.978735634124808,0.0002181859890697524,0.017928553745150566,0.25,0.4,400
7,35.686032221577655,0.9422169554713341,0.0002673062263056636,0.0214761383831501,0.25,0.4,400
8,35.063051900283455,0.9587934357032442,0.00030902266735211015,0.020234234631061554,0.25,0.4,400
9,36.90815971096363,0.9628344942941508,0.00020095036597922444,0.02191278152167797,0.25,0.4,400
