sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-69.020215014065,2.0528819265190885e-08,7805605.5,27190.4375,0.5,200,0.6
1,-68.77348987373938,1.1815836265593627e-09,7530432.0,27211.314453125,0.5,200,0.6
2,-69.14232936696568,4.343324613866907e-09,7651231.0,27170.927734375,0.5,200,0.6
3,-69.36354561364996,7.589133040961664e-10,7974834.5,27203.265625,0.5,200,0.6
4,-68.81253855983357,-1.3146393391703369e-09,7497342.5,27190.470703125,0.5,200,0.6
5,-69.04419208333917,4.477052507013386e-09,7421396.0,27175.328125,0.5,200,0.6
6,-69.68325513560279,5.718134572806883e-09,7608818.5,27233.09375,0.5,200,0.6
7,-68.79629282837695,4.2596209706841736e-10,7503114.5,27234.177734375,0.5,200,0.6
8,-68.7475787194675,1.2830225305229661e-08,7431105.0,27207.82421875,0.5,200,0.6
9,-68.83998922506386,-9.0209040717001e-09,7549249.0,27212.9765625,0.5,200,0.6
