sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,23.77089653066281,0.8938117334259947,0.004104832652956247,0.007818161509931087,0.7,0.9,25,0.01,0.0215443469003188,True
1,25.662347471456123,0.8792573769866204,0.0027116655837744474,0.006387514993548393,0.7,0.9,25,0.01,0.0215443469003188,True
2,-inf,,inf,inf,0.7,0.9,25,0.01,0.0001,True
3,25.619175664070568,0.8592932675307741,0.0025319175329059362,0.009102527983486652,0.7,0.9,25,0.01,0.0021544346900318,True
4,27.130068163055924,0.9016782859358571,0.0019083002116531134,0.008704762905836105,0.7,0.9,25,0.01,0.0021544346900318,True
5,31.83435877823342,0.9476842033620098,0.0006062203901819885,0.007270311005413532,0.7,0.9,25,0.01,0.0046415888336127,True
6,28.88711259267418,0.9259502802686179,0.0010575001360848546,0.006784865166991949,0.7,0.9,25,0.01,0.0021544346900318,True
7,32.22789620566139,0.9459664142537781,0.000592683267313987,0.005947523284703493,0.7,0.9,25,0.01,0.0021544346900318,True
8,27.792694120367848,0.9052325775070736,0.0016482614446431398,0.005237717647105455,0.7,0.9,25,0.01,0.01,True
9,18.923529572805176,0.7719367122079177,0.012634319253265858,0.007484458386898041,0.7,0.9,25,0.01,0.0215443469003188,True
