sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,30.57115898801914,0.9350457207815889,0.0008575692190788686,0.019092606380581856,1.0,1.4,100,False
1,31.38300962023349,0.9418594201082908,0.0007263901061378419,0.0212495606392622,1.0,1.4,100,False
2,31.48068079923954,0.9067407923147959,0.0006628729170188308,0.01812572218477726,1.0,1.4,100,False
3,32.809036081861365,0.9648396765469152,0.0004835746658500284,0.015874188393354416,1.0,1.4,100,False
4,24.66593792429269,0.8865376831300488,0.003365578828379512,0.021977081894874573,1.0,1.4,100,False
5,34.46143187792628,0.9786478617719698,0.00033107257331721485,0.015318053774535656,1.0,1.4,100,False
6,32.403034369731806,0.9601660744201534,0.00047063938109204173,0.01818077079951763,1.0,1.4,100,False
7,35.580591448148894,0.9154128756939257,0.0002738754847086966,0.014238230884075165,1.0,1.4,100,False
8,30.379467898272363,0.9416891235946625,0.000908549758605659,0.01733028143644333,1.0,1.4,100,False
9,30.910084567447974,0.925940743834453,0.0007996433414518833,0.026350554078817368,1.0,1.4,100,False
