sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,34.44120303660232,0.968517389675166,0.0003517748264130205,0.01063835620880127,0.1,1.4,200,False
1,39.73792990753552,0.9836164661697558,0.00010609083255985752,0.009019109420478344,0.1,1.4,200,False
2,38.2481143006175,0.9856290088195673,0.00013953621964901686,0.009717734530568123,0.1,1.4,200,False
3,41.20531236457714,0.9887146892716149,6.995776493567973e-05,0.007733789272606373,0.1,1.4,200,False
4,27.862786334196187,0.9347063737303418,0.0016120364889502525,0.012000301852822304,0.1,1.4,200,False
5,42.89255400402855,0.9933847069155937,4.75128399557434e-05,0.00798981636762619,0.1,1.4,200,False
6,39.17050160845568,0.988310982829769,9.906986088026315e-05,0.010175665840506554,0.1,1.4,200,False
7,40.01756746760924,0.9745096397981186,9.859514830168337e-05,0.006832491606473923,0.1,1.4,200,False
8,33.19282659696111,0.958168410218414,0.0004753492830786854,0.009914245456457138,0.1,1.4,200,False
9,39.69762224839248,0.9814679309402826,0.00010571645543677732,0.011442238464951515,0.1,1.4,200,False
