sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-68.2148286881356,-2.9905734815961e-09,6484372.0,19767.9765625,0.5,100,0.2
1,-67.11894507074733,1.6745312388471906e-09,5144763.0,19700.080078125,0.5,100,0.2
2,-69.59776453869642,-6.244448143423176e-09,8497180.0,19554.951171875,0.5,100,0.2
3,-68.09473470055516,-7.3160170688495755e-09,5954435.5,19946.794921875,0.5,100,0.2
4,-69.10412876778481,-2.6505292983034458e-08,8018006.5,19823.2265625,0.5,100,0.2
5,-68.38592603692463,-1.5905102919770325e-08,6377625.5,19678.330078125,0.5,100,0.2
6,-69.152450350875,2.2259634442869533e-08,6733436.5,20153.7734375,0.5,100,0.2
7,-68.00731454174111,-2.07762120208874e-09,6256677.5,20109.748046875,0.5,100,0.2
8,-68.2776476218608,-9.837349746203744e-09,6668992.5,19801.017578125,0.5,100,0.2
9,-67.883904167861,8.394985563816957e-09,6057525.0,19770.830078125,0.5,100,0.2
