sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,37.316212765798646,0.9787150718602357,0.0001814528659451753,0.012892532162368298,0.07,0.9,100,1e-06,0.0215443469003188,True
1,31.630224463550793,0.9555285016634146,0.0006861963775008917,0.019159886986017227,0.07,0.9,100,1e-06,0.0464158883361277,True
2,-248.83238115352873,0.48489735173244103,7.124205771782171e+24,10514208915456.0,0.07,0.9,100,1e-06,0.0001,True
3,36.853675944405765,0.9576078179466343,0.0001905458775581792,0.004325284622609615,0.07,0.9,100,1e-06,0.0046415888336127,True
4,33.24378172855669,0.9719174573326751,0.00046695530181750655,0.009604946710169315,0.07,0.9,100,1e-06,0.0046415888336127,True
5,37.34059670709518,0.9661244072781259,0.0001706108741927892,0.004715677350759506,0.07,0.9,100,1e-06,0.001,True
6,31.83498666904425,0.9688962882055956,0.000536405248567462,0.0071486616507172585,0.07,0.9,100,1e-06,0.0021544346900318,True
7,42.379084755980486,0.9847822811212333,5.724055881728418e-05,0.0036114510148763657,0.07,0.9,100,1e-06,0.0004641588833612,True
8,31.180827572595042,0.9324404307178792,0.0007554622134193778,0.010240462608635426,0.07,0.9,100,1e-06,0.0021544346900318,True
9,21.5188197812908,0.8269989564100576,0.00695060845464468,0.027018344029784203,0.07,0.9,100,1e-06,0.0215443469003188,True
