sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,33.5027995399886,0.9735634465412581,0.0004366215143818408,0.010371445678174496,0.07,0.9,25,1e-06,0.0215443469003188,True
1,32.80824625047659,0.9688100908009261,0.0005231741233728826,0.014190223067998886,0.07,0.9,25,1e-06,0.0464158883361277,True
2,-59.27999417525495,0.4853086536517009,789764.8125,1512.4521484375,0.07,0.9,25,1e-06,0.0001,True
3,37.65168899199532,0.9630704783287641,0.00015856168465688825,0.0035230000503361225,0.07,0.9,25,1e-06,0.0046415888336127,True
4,34.26100325104621,0.9769732498163041,0.0003694478946272284,0.007305487059056759,0.07,0.9,25,1e-06,0.0046415888336127,True
5,35.68253590101709,0.9709353895994409,0.00024992681574076414,0.004182896576821804,0.07,0.9,25,1e-06,0.001,True
6,31.726958934585387,0.9728169556710988,0.0005499153630807996,0.005433543585240841,0.07,0.9,25,1e-06,0.0021544346900318,True
7,44.240137515978184,0.9871123489703679,3.729053059942089e-05,0.0027450083289295435,0.07,0.9,25,1e-06,0.0004641588833612,True
8,33.12174909996693,0.9498416001536528,0.00048319296911358833,0.007807561662048101,0.07,0.9,25,1e-06,0.0021544346900318,True
9,20.86224797702618,0.8266239270910637,0.008085000328719616,0.01654946431517601,0.07,0.9,25,1e-06,0.0215443469003188,True
