sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-61.714008471213376,-1.904532621114242e-08,1451396.0,11740.455078125,0.5,100,0.6
1,-61.48634207093454,-1.66330378002856e-08,1406387.875,11760.7373046875,0.5,100,0.6
2,-61.8735584401488,1.6912033395855011e-09,1435007.5,11729.6181640625,0.5,100,0.6
3,-62.092822830684405,3.888845014636682e-09,1495028.25,11752.7119140625,0.5,100,0.6
4,-61.52716091385188,-4.295143612522831e-08,1400778.875,11741.78515625,0.5,100,0.6
5,-61.743383615543436,2.991272805392566e-08,1381671.375,11729.5986328125,0.5,100,0.6
6,-62.33200934479395,3.6170036273861293e-08,1400208.25,11761.4384765625,0.5,100,0.6
7,-61.51449124229049,1.100133030723553e-08,1403012.125,11771.61328125,0.5,100,0.6
8,-61.41243204910488,1.285463602488317e-08,1372583.25,11745.3447265625,0.5,100,0.6
9,-61.58677541686163,-8.764480522179926e-09,1420961.5,11753.7548828125,0.5,100,0.6
