sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,44.40424114536487,0.9966502186406877,3.547815140336752e-05,0.00799405574798584,0.05,0.8,300
1,43.32702531998349,0.9902697492802229,4.642675776267424e-05,0.006167679093778133,0.05,0.8,300
2,39.965844407259034,0.9960729032754898,9.395371307618916e-05,0.005416641943156719,0.05,0.8,300
3,46.30526188575008,0.9963522467481586,2.1619265680783428e-05,0.004341639578342438,0.05,0.8,300
4,41.818451785678185,0.997148467952499,6.48348213871941e-05,0.004390910267829895,0.05,0.8,300
5,47.070675813285504,0.9966108457130545,1.815510586311575e-05,0.004206554498523474,0.05,0.8,300
6,47.9279857204665,0.9978960170127044,1.3188431694288738e-05,0.0046595120802521706,0.05,0.8,300
7,44.04000090449151,0.9946563837144397,3.904920959030278e-05,0.0038566733710467815,0.05,0.8,300
8,43.49507798679938,0.99532381390578,4.433918365975842e-05,0.0057843877002596855,0.05,0.8,300
9,46.003268474235,0.99650326732573,2.4750155716901645e-05,0.0061613465659320354,0.05,0.8,300
