sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,35.409979837165515,0.9768166243107326,0.00028144082170911133,0.01149864960461855,0.07,0.9,50,1e-06,0.0215443469003188,True
1,32.09677966468898,0.9627639676979575,0.0006163010839372873,0.016530150547623634,0.07,0.9,50,1e-06,0.0464158883361277,True
2,30.298474414137374,0.9346134818828943,0.0008702636696398258,0.007146202027797699,0.07,0.9,50,1e-06,0.0001,True
3,37.288375260419734,0.9608868700639567,0.00017239696171600372,0.0038606489542871714,0.07,0.9,50,1e-06,0.0046415888336127,True
4,33.71753117515039,0.9746479805716544,0.000418697512941435,0.00843415129929781,0.07,0.9,50,1e-06,0.0046415888336127,True
5,36.570262419729296,0.9684600082636494,0.00020372304425109178,0.004597923718392849,0.07,0.9,50,1e-06,0.001,True
6,31.727282824861636,0.9711022852498066,0.0005498743266798556,0.006198556162416935,0.07,0.9,50,1e-06,0.0021544346900318,True
7,43.43265556079064,0.9861593942001262,4.491038271225989e-05,0.003142118453979492,0.07,0.9,50,1e-06,0.0004641588833612,True
8,32.036110849388194,0.9409075431387306,0.000620417995378375,0.008886761963367462,0.07,0.9,50,1e-06,0.0021544346900318,True
9,21.40052799819834,0.8333573037115212,0.007142527960240841,0.022982828319072723,0.07,0.9,50,1e-06,0.0215443469003188,True
