sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,21.703521892924797,0.8282861623583747,0.0066074347123503685,0.021434402093291283,0.7,0.2,100,True
1,22.603157247748143,0.8503115851589108,0.005484729073941708,0.03442266210913658,0.7,0.2,100,True
2,28.185904215875922,0.9184236914937692,0.0014154936652630568,0.015126963146030903,0.7,0.2,100,True
3,28.884158011378588,0.8873945618284024,0.001193854259327054,0.02771040052175522,0.7,0.2,100,True
4,27.44012421646233,0.9249669024980289,0.0017768105026334524,0.02129661850631237,0.7,0.2,100,True
5,22.69133798868044,0.8282572383943958,0.004976598545908928,0.028543299064040184,0.7,0.2,100,True
6,22.229261252551318,0.8192717276209143,0.004898528102785349,0.0352446623146534,0.7,0.2,100,True
7,26.356841190683404,0.9073726183535883,0.002290488686412573,0.014630165882408619,0.7,0.2,100,True
8,22.29551219982035,0.8277673094214871,0.005844458471983671,0.031796690076589584,0.7,0.2,100,True
9,18.601077536317163,0.6960204957315931,0.013608085922896862,0.047396570444107056,0.7,0.2,100,True
