sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,23.664329606470535,0.8751844152041338,0.0042068022303283215,0.023195520043373108,0.07,0.4,300,True
1,21.884834408057444,0.8270195236372385,0.0064712390303611755,0.03363276273012161,0.07,0.4,300,True
2,29.12527709065495,0.9287298981562738,0.001140172709710896,0.01431264914572239,0.07,0.4,300,True
3,30.70459266900542,0.9151053939618254,0.0007850690162740648,0.02370629645884037,0.07,0.4,300,True
4,28.67104367751822,0.9545737331189115,0.001338286674581468,0.018765512853860855,0.07,0.4,300,True
5,25.481792219941156,0.8957213134281334,0.0026175028178840876,0.02713462896645069,0.07,0.4,300,True
6,23.221486973637973,0.8595404270227396,0.003898010356351733,0.033466462045907974,0.07,0.4,300,True
7,29.82813380739866,0.9609843001492375,0.001029909122735262,0.01466948352754116,0.07,0.4,300,True
8,22.228558261964373,0.8257952696136841,0.005935259163379669,0.030932744964957237,0.07,0.4,300,True
9,18.517186235223303,0.693968373355064,0.013873504474759102,0.04316176846623421,0.07,0.4,300,True
