sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,16.328937397405873,0.5277246764311303,0.022776728495955467,0.05693880841135979,0.07,0.8,200,False
1,18.50907658472374,0.6967314526222341,0.014078722335398197,0.05746336653828621,0.07,0.8,200,False
2,26.171139705451743,0.7754489646713945,0.0022510462440550327,0.03146069869399071,0.07,0.8,200,False
3,28.338889189395143,0.8681435382824537,0.0013535621110349894,0.04788447916507721,0.07,0.8,200,False
4,19.85130475217456,0.6532971076364857,0.01019818801432848,0.06847996264696121,0.07,0.8,200,False
5,20.1093244291595,0.6857196877199807,0.009018492884933949,0.04823116585612297,0.07,0.8,200,False
6,19.71282003455148,0.6272478995823727,0.008743991144001484,0.05596529319882393,0.07,0.8,200,False
7,25.79830347606559,0.7756229250915772,0.0026048454456031322,0.04010230302810669,0.07,0.8,200,False
8,18.776031822843954,0.635322833345685,0.013142934069037437,0.055905502289533615,0.07,0.8,200,False
9,19.372988512837196,0.7673224697102887,0.011392155662178993,0.06116071715950966,0.07,0.8,200,False
