sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-70.17149823197884,2.681761980924936e-09,10175011.0,28546.875,0.5,200,0.4
1,-69.2828027648937,-7.004733922726254e-09,8467421.0,28586.310546875,0.5,200,0.4
2,-69.74009472043304,3.168252932535713e-09,8780269.0,28570.154296875,0.5,200,0.4
3,-70.15502583448692,8.044113586926838e-10,9569070.0,28580.173828125,0.5,200,0.4
4,-69.63594348434098,-1.4144960814117989e-08,9062497.0,28584.224609375,0.5,200,0.4
5,-69.80801328778281,1.6225091704340767e-09,8848461.0,28564.57421875,0.5,200,0.4
6,-70.08864216842619,-1.5031463718810626e-09,8353259.5,28591.900390625,0.5,200,0.4
7,-69.56781083605725,3.99832683459229e-09,8961761.0,28645.556640625,0.5,200,0.4
8,-69.34114492232332,-8.202537181067188e-09,8519419.0,28583.146484375,0.5,200,0.4
9,-69.40875003966218,-3.863947498535059e-09,8605573.0,28616.361328125,0.5,200,0.4
