sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,28.679649501818716,0.9012702126248179,0.0013256232487037778,0.026257362216711044,1.0,1.4,400,False
1,29.066233804422303,0.9046837988283613,0.0012383615830913186,0.026010651141405106,1.0,1.4,400,False
2,29.33155008806896,0.8630009165958293,0.0010872847633436322,0.02431786246597767,1.0,1.4,400,False
3,30.905416562017372,0.9464677826331311,0.0007495929603464901,0.02183588407933712,1.0,1.4,400,False
4,24.05572347335513,0.8599858027337139,0.0038733002729713917,0.030123889446258545,1.0,1.4,400,False
5,31.40257716017155,0.9606232144653613,0.0006695895572192967,0.02239506132900715,1.0,1.4,400,False
6,30.23245024767972,0.9491144216036034,0.0007757944986224174,0.025287218391895294,1.0,1.4,400,False
7,33.75719808379199,0.8966611370932546,0.0004167662118561566,0.01949685998260975,1.0,1.4,400,False
8,29.990342554730383,0.9370424702025419,0.0009937136201187968,0.02188158594071865,1.0,1.4,400,False
9,27.11068103900118,0.8642990678804845,0.0019179474329575896,0.03765713423490524,1.0,1.4,400,False
