sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-77.50501101039367,1.0587417325725047e-09,55066336.0,72376.2734375,0.5,500,0.8
1,-77.18126733150639,-2.3407871489601133e-09,52191244.0,72352.9609375,0.5,500,0.8
2,-77.64981044725373,-2.6119921023723073e-10,54259952.0,72403.765625,0.5,500,0.8
3,-77.78069809597356,3.9544945513957113e-10,55390712.0,72395.109375,0.5,500,0.8
4,-77.39633779449039,-2.439803355588747e-09,54111212.0,72379.7890625,0.5,500,0.8
5,-77.56100541023237,-4.444049686234943e-10,52743256.0,72347.8828125,0.5,500,0.8
6,-78.12470361354194,-1.462485698870253e-09,53144960.0,72458.1875,0.5,500,0.8
7,-77.30448726868855,-2.0232278306069532e-10,53218304.0,72544.4921875,0.5,500,0.8
8,-77.21665810812945,-3.774324614762788e-10,52234964.0,72458.9453125,0.5,500,0.8
9,-77.27184479098636,-1.455928260311143e-09,52612540.0,72496.109375,0.5,500,0.8
