sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,26.068919588195204,0.8873922446370461,0.0024182049091905355,0.024804839864373207,0.7,0.9,25,1e-08,0.0215443469003188,True
1,24.98399259525285,0.8765727060153058,0.0031700904946774244,0.03216007351875305,0.7,0.9,25,1e-08,0.0215443469003188,True
2,29.843170180462323,0.9401522855358717,0.0009664543904364109,0.0178227499127388,0.7,0.9,25,1e-08,0.0001,True
3,29.990456190160366,0.9023686455883724,0.0009253828902728856,0.025079021230340004,0.7,0.9,25,1e-08,0.0021544346900318,True
4,28.052517580947026,0.935853346305735,0.0015431273495778441,0.021830566227436066,0.7,0.9,25,1e-08,0.0021544346900318,True
5,28.76727558309542,0.9236905728500447,0.0012283973628655076,0.024547738954424858,0.7,0.9,25,1e-08,0.0046415888336127,True
6,24.735619902543192,0.8721701363093192,0.002750614657998085,0.0340065099298954,0.7,0.9,25,1e-08,0.0021544346900318,True
7,36.61291440564106,0.968838284382264,0.0002159339201170951,0.012728051282465458,0.7,0.9,25,1e-08,0.0021544346900318,True
8,24.43557313468932,0.8669175594352695,0.0035705750342458487,0.026462294161319733,0.7,0.9,25,1e-08,0.01,True
9,18.649074969687184,0.6875911711132364,0.013458519242703915,0.04357827082276344,0.7,0.9,25,1e-08,0.0215443469003188,True
