sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,16.545314289344322,0.5355225720003469,0.021669737994670868,0.052453603595495224,0.07,1.2,200,False
1,18.178719437104277,0.681138995215328,0.015191441401839256,0.053698062896728516,0.07,1.2,200,False
2,26.40954286764119,0.7929554479874555,0.002130806678906083,0.03203355893492699,0.07,1.2,200,False
3,28.584502951818553,0.87081051699772,0.001279136398807168,0.04736193269491196,0.07,1.2,200,False
4,19.869640901817906,0.6599746136822193,0.010155221447348595,0.0687897726893425,0.07,1.2,200,False
5,20.07593205922493,0.6838093747767822,0.009088102728128433,0.04895032197237015,0.07,1.2,200,False
6,19.74432187641465,0.6233588879492502,0.008680795319378376,0.05966702103614807,0.07,1.2,200,False
7,25.86142288348902,0.7777668179677928,0.00256726099178195,0.042082153260707855,0.07,1.2,200,False
8,18.547165335694935,0.623275743409971,0.01385412085801363,0.05485237389802933,0.07,1.2,200,False
9,19.409040215170712,0.7554352672702845,0.011297979392111301,0.06274636834859848,0.07,1.2,200,False
