sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,34.203734026815454,0.9644849239449691,0.000371545203961432,0.015368477441370487,0.1,0.6,400
1,43.39476931501419,0.9932943233610799,4.5708187826676294e-05,0.010633294470608234,0.1,0.6,400
2,35.52573158801868,0.9654746753758567,0.00026117110974155366,0.012048582546412945,0.1,0.6,400
3,46.544630712484285,0.9945014676442456,2.0459927327465266e-05,0.009653336368501186,0.1,0.6,400
4,25.890467218520094,0.8935339915507519,0.0025386731140315533,0.017773721367120743,0.1,0.6,400
5,37.640423034202335,0.973910349764322,0.00015922970487736166,0.010726097971200943,0.1,0.6,400
6,41.83218932664388,0.9926871223407879,5.3675088565796614e-05,0.011966022662818432,0.1,0.6,400
7,37.75478448709908,0.9598423750461748,0.00016600984963588417,0.009625927545130253,0.1,0.6,400
8,39.61919719192739,0.985652072649253,0.0001082370217773132,0.012140349484980106,0.1,0.6,400
9,38.084281741944174,0.9859178568802628,0.00015327688015531749,0.016790060326457024,0.1,0.6,400
