sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,14.560649615464168,0.22927707609606787,0.03422315791249275,0.14272268116474152,0.7,0.2,50,False
1,14.652101235199225,0.2740487670567582,0.03421848267316818,0.20600026845932007,0.7,0.2,50,False
2,20.902222480469526,0.23831539808044638,0.007573142182081938,0.13460823893547058,0.7,0.2,50,False
3,20.048191314813685,0.39554458685919763,0.009131623432040215,0.1533326804637909,0.7,0.2,50,False
4,15.65802583897091,0.21529579012740335,0.026782488450407982,0.16531869769096375,0.7,0.2,50,False
5,17.44332830354137,0.2827846033863299,0.016662247478961945,0.15885692834854126,0.7,0.2,50,False
6,18.91043512439215,0.32129761208682794,0.010518364608287811,0.14009615778923035,0.7,0.2,50,False
7,17.57603649280932,0.2225569091216938,0.017298508435487747,0.19948729872703552,0.7,0.2,50,False
8,17.109728676362856,0.32909550837184975,0.019289573654532433,0.15115532279014587,0.7,0.2,50,False
9,17.20594499316221,0.2978521385841935,0.01876334473490715,0.16975456476211548,0.7,0.2,50,False
