sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-80.93052464022819,-2.1921596100893777e-08,121181840.0,64541.65625,0.25,100,0.6
1,-80.93690615911613,8.579090794290923e-09,123925736.0,65392.63671875,0.25,100,0.6
2,-79.12160230416536,-6.740998267904375e-12,76148008.0,65769.890625,0.25,100,0.6
3,-83.96416146095856,-1.0391922395301871e-09,230029344.0,63592.98046875,0.25,100,0.6
4,-84.70699750896094,-5.644507106050903e-09,291308576.0,64062.4140625,0.25,100,0.6
5,-78.52757554056195,-6.222912561483464e-11,65890676.0,65735.3046875,0.25,100,0.6
6,-79.5656441350198,1.0082807049658013e-08,74055296.0,62315.48046875,0.25,100,0.6
7,-84.14470033984762,-6.24446586608134e-10,257088320.0,67867.6015625,0.25,100,0.6
8,-80.66117684100843,4.944299155697506e-09,115455112.0,63397.828125,0.25,100,0.6
9,-81.22559410710949,3.773393292004964e-09,130756776.0,64419.98828125,0.25,100,0.6
