sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-82.2900310132354,2.59696467212556e-10,165725072.0,92590.75,0.25,400,0.8
1,-80.81053688384421,7.907872915802712e-10,120371752.0,92599.765625,0.25,400,0.8
2,-82.95002450687991,6.07593240016422e-10,183865728.0,92066.9921875,0.25,400,0.8
3,-81.5430380421173,2.064169373249106e-09,131725808.0,93232.3359375,0.25,400,0.8
4,-81.4818244335767,1.505516882058222e-10,138623216.0,92497.6640625,0.25,400,0.8
5,-81.88447530566754,5.851983517756845e-10,142729568.0,92714.171875,0.25,400,0.8
6,-83.31711689157663,1.9865993761565316e-09,175672352.0,93470.109375,0.25,400,0.8
7,-81.28553191112161,2.422603462921843e-09,133096136.0,94150.484375,0.25,400,0.8
8,-81.96442265378393,8.093514264452101e-11,155861104.0,93001.765625,0.25,400,0.8
9,-82.57472994068657,-6.891731933394006e-10,178392992.0,92981.671875,0.25,400,0.8
