sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-83.63802927866158,-2.6389827858277346e-09,226041392.0,92210.0546875,0.5,400,0.2
1,-80.80158781260708,1.2898848410438535e-10,120123968.0,92400.765625,0.5,400,0.2
2,-84.40803342556387,1.3946680841602263e-09,257218176.0,92111.8125,0.5,400,0.2
3,-82.18199011791458,2.996422278625938e-11,152604080.0,93353.125,0.5,400,0.2
4,-81.50293735258784,-5.162117970574711e-10,139298752.0,92650.5078125,0.5,400,0.2
5,-82.28051799493863,-2.7813818293455676e-09,156357328.0,92052.3984375,0.5,400,0.2
6,-82.83429259074308,-2.6243827593823995e-09,157188560.0,93676.828125,0.5,400,0.2
7,-80.67974633106878,-1.9223115310302193e-09,115767568.0,93576.3359375,0.5,400,0.2
8,-81.86088992050053,5.597786257089009e-11,152189424.0,92444.9921875,0.5,400,0.2
9,-82.05973337988169,2.509292464090483e-09,158444848.0,92725.1015625,0.5,400,0.2
