sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,25.944936692641996,0.8884804177089446,0.0024882350116968155,0.024150172248482704,0.05,1.4,200,True
1,21.52878326880442,0.807568153499321,0.007024130318313837,0.030992066487669945,0.05,1.4,200,True
2,28.927764918252453,0.918035170241123,0.0011932236375287175,0.020601943135261536,0.05,1.4,200,True
3,29.50256724112125,0.9030764075524729,0.0010354053229093552,0.02542317472398281,0.05,1.4,200,True
4,28.91151188635945,0.9572361152776747,0.0012661999789997935,0.0227494016289711,0.05,1.4,200,True
5,26.845019341764754,0.9084735018743243,0.001912337145768106,0.02760213054716587,0.05,1.4,200,True
6,23.358649324346107,0.8509799934195093,0.0037768245674669743,0.037771716713905334,0.05,1.4,200,True
7,34.784852873370234,0.9704404923722717,0.00032894781907089055,0.015191669575870037,0.05,1.4,200,True
8,23.499942200861828,0.8386111045453286,0.004428954795002937,0.02758033573627472,0.05,1.4,200,True
9,18.352403263112127,0.6740245097785346,0.014410016126930714,0.04708850011229515,0.05,1.4,200,True
