sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,16.335984017030476,0.5281207262359399,0.022739801555871964,0.05670055374503136,0.07,0.8,300,False
1,18.53436291404493,0.6974134078859404,0.013996989466249943,0.05734465271234512,0.07,0.8,300,False
2,26.201939082368632,0.7762730411007118,0.0022351385559886694,0.031459178775548935,0.07,0.8,300,False
3,28.34946423357128,0.8675817453965434,0.0013502702349796891,0.04783986508846283,0.07,0.8,300,False
4,19.870386829022692,0.6537365169441942,0.010153478011488914,0.0685034990310669,0.07,0.8,300,False
5,20.120463257326534,0.6858401495010448,0.008995391428470612,0.048225462436676025,0.07,0.8,300,False
6,19.672064601392613,0.6254498305808252,0.008826433680951595,0.05591435730457306,0.07,0.8,300,False
7,25.762538603445968,0.7742987343853088,0.0026263853069394827,0.04012538120150566,0.07,0.8,300,False
8,18.770085482870687,0.6345655771224183,0.013160941191017628,0.05587630718946457,0.07,0.8,300,False
9,19.37382785750643,0.7669170357337869,0.011389954946935177,0.06121128052473068,0.07,0.8,300,False
