sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-72.74724921462266,-2.290122917392577e-09,18412382.0,41929.1796875,0.5,300,0.8
1,-72.46376799556207,-9.55759481272029e-10,17613582.0,41915.19140625,0.5,300,0.8
2,-72.95508840672383,4.981051687520345e-10,18408026.0,41943.6328125,0.5,300,0.8
3,-73.07371201318654,-1.5141781630748676e-09,18738650.0,41927.28515625,0.5,300,0.8
4,-72.65074095345048,9.755089275063035e-09,18143774.0,41934.06640625,0.5,300,0.8
5,-72.81341176587017,-2.615366982041852e-09,17676960.0,41906.890625,0.5,300,0.8
6,-73.39692719455189,4.598411877890494e-10,17893052.0,41981.26171875,0.5,300,0.8
7,-72.58102900303057,-5.214690394589844e-10,17935572.0,42027.109375,0.5,300,0.8
8,-72.47030859879905,7.511463942396598e-10,17511620.0,41963.96875,0.5,300,0.8
9,-72.53728280274666,-9.856689332746277e-10,17686140.0,41985.9609375,0.5,300,0.8
