sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,25.2190208100285,0.8745057554141848,0.0029409187845885754,0.025270724669098854,0.7,0.9,25,1e-09,0.0215443469003188,True
1,23.219151098026046,0.8541754372749513,0.004759439267218113,0.03202221170067787,0.7,0.9,25,1e-09,0.0215443469003188,True
2,29.1337229334153,0.9292521750169035,0.001137957558967173,0.018579382449388504,0.7,0.9,25,1e-09,0.0001,True
3,29.79085069143345,0.8998845803971384,0.0009689069120213389,0.026193154975771904,0.7,0.9,25,1e-09,0.0021544346900318,True
4,28.394269922182435,0.9370306027501483,0.0014263513730838895,0.0224359929561615,0.7,0.9,25,1e-09,0.0021544346900318,True
5,26.886750304941597,0.9031655035410326,0.0018940496956929564,0.026508916169404984,0.7,0.9,25,1e-09,0.0046415888336127,True
6,23.886746326990462,0.854506904348708,0.0033443912398070097,0.03681517392396927,0.7,0.9,25,1e-09,0.0021544346900318,True
7,36.063157259454094,0.9668546342689801,0.0002450736064929515,0.013958079740405083,0.7,0.9,25,1e-09,0.0021544346900318,True
8,23.625615379379216,0.8542459785518796,0.0043026297353208065,0.026790587231516838,0.7,0.9,25,1e-09,0.01,True
9,18.656915366030262,0.6876987185379597,0.013434245251119137,0.04508160427212715,0.7,0.9,25,1e-09,0.0215443469003188,True
