sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,25.606347207105355,0.8778506856602958,0.0026899881195276976,0.02554428204894066,0.07,1.4,500,True
1,21.516651291191792,0.8037845149647802,0.007043779827654362,0.031632572412490845,0.07,1.4,500,True
2,28.66813444493843,0.9148604591829466,0.00126673246268183,0.02129974029958248,0.07,1.4,500,True
3,29.033188708135466,0.8951978019885424,0.0011535814264789224,0.026094332337379456,0.07,1.4,500,True
4,28.66299844792009,0.9532309756744018,0.001340768183581531,0.023809410631656647,0.07,1.4,500,True
5,26.67180789641073,0.9031586985070628,0.0019901490304619074,0.028110912069678307,0.07,1.4,500,True
6,23.229984274870606,0.8445227772494349,0.003890391206368804,0.03853151574730873,0.07,1.4,500,True
7,34.15046244731789,0.9658683389732835,0.00038068523281253874,0.015958229079842567,0.07,1.4,500,True
8,23.51706651856746,0.8354445678739154,0.004411526024341583,0.027931958436965942,0.07,1.4,500,True
9,18.32537106375198,0.6662060174213048,0.014499989338219166,0.04832518845796585,0.07,1.4,500,True
