operator,sigma,procedure,psnr_mean,ssim_mean,mse_mean
sxr,0.05,false,43.36839056927399,0.9951774179525379,5.141066503711045e-05
sxr,0.05,true,36.37499735199491,0.9805431645933832,453.6805674235026
sxr,0.1,false,40.566396358126624,0.9915189488230598,0.0001016480576557241
sxr,0.1,true,35.21739686020333,0.9762901236512355,576.3986612955729
sxr,0.25,false,35.66049043836435,0.9740847464440062,0.00030881661708306667
sxr,0.25,true,32.66745477519064,0.959264194613978,1020.2284749348959
sxr,0.5,false,31.09822565301187,0.9400194640383136,0.0008265532960649334
sxr,0.5,true,30.086005089991612,0.9212625394298174,1943.276102701823
dmpx,0.05,false,38.76440343040897,0.981433771350743,0.00015479441329562188
dmpx,0.05,true,36.16707306782353,0.9571596200814669,828.3745625813802
dmpx,0.1,false,37.41557248974201,0.9743821008760761,0.00020510501538712638
dmpx,0.1,true,34.68122165947434,0.9469979920863111,1017.3691050211588
dmpx,0.25,false,35.4357038187543,0.9585286569334683,0.0003179164729468667
dmpx,0.25,true,32.60982237966346,0.9196641452398727,1477.3675181070964
dmpx,0.5,false,33.71970848125539,0.9387146702701354,0.0004634607272843
dmpx,0.5,true,30.394200049992747,0.8595087609547786,2897.791229248047
