sample_idx,psnr,ssim,mse,post_std_mean,alpha,sigma_used
0,30.184006616148583,0.9078686983654131,0.0009375283261761069,0.022341767325997353,1.0,0.5
1,34.00287914528234,0.9554907531853307,0.0003973589336965233,0.01802542246878147,1.0,0.5
2,29.107791197604683,0.9566989405641968,0.0011447726283222437,0.015169349499046803,1.0,0.5
