sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-62.83416090465002,-2.0672958443537612e-08,1878456.625,12385.9765625,0.5,100,0.4
1,-61.986467218373164,-1.6048284673877255e-08,1578038.625,12402.4384765625,0.5,100,0.4
2,-62.41357055528031,-3.058467510442381e-08,1625007.625,12382.291015625,0.5,100,0.4
3,-62.77950368968544,3.954957790759304e-09,1751126.5,12398.498046875,0.5,100,0.4
4,-62.383477063777555,-9.764612042072767e-09,1706087.125,12391.650390625,0.5,100,0.4
5,-62.45165398572969,-2.129493861792353e-08,1626416.625,12391.3125,0.5,100,0.4
6,-62.88263511607578,4.8000123907067886e-08,1589480.625,12393.8564453125,0.5,100,0.4
7,-62.179899959237034,1.4064235903707634e-08,1635318.25,12424.5849609375,0.5,100,0.4
8,-62.17838014562539,5.752260720576074e-09,1637319.875,12396.0791015625,0.5,100,0.4
9,-62.11375604635396,2.233749350981559e-08,1604280.75,12396.5400390625,0.5,100,0.4
