sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,44.34180012587432,0.9946000744099465,3.5991924960399047e-05,0.01220890786498785,0.05,0.6,50
1,43.00314262164427,0.9892892461689141,5.0021491915686056e-05,0.009302365593612194,0.05,0.6,50
2,42.25410734870823,0.995827419254679,5.547375985770486e-05,0.007886444218456745,0.05,0.6,50
3,46.448104002053405,0.9952201847567523,2.0919762391713448e-05,0.008344091475009918,0.05,0.6,50
4,42.48522675765406,0.9967174222164232,5.560717545449734e-05,0.007502966094762087,0.05,0.6,50
5,48.15446967614452,0.9960165531888712,1.4145535715215374e-05,0.008456054143607616,0.05,0.6,50
6,46.6782686473404,0.9962006472243367,1.7585909517947584e-05,0.00872205663472414,0.05,0.6,50
7,44.58690103160731,0.9925774734763292,3.4428827348165214e-05,0.009255879558622837,0.05,0.6,50
8,45.20565306822073,0.9950598032205098,2.9904060284025036e-05,0.00887235812842846,0.05,0.6,50
9,45.21886065607845,0.9960550338152885,2.9649592761415988e-05,0.009689908474683762,0.05,0.6,50
