sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,42.56527765283322,0.9859402673501595,5.418228101916611e-05,0.018734117969870567,0.05,0.4,100
1,42.09667669257939,0.9844024444020077,6.163156649563462e-05,0.013421827927231789,0.05,0.4,100
2,41.68808655447415,0.9901842334998774,6.319602107396349e-05,0.0124813262373209,0.05,0.4,100
3,44.82900764255014,0.990332747622171,3.037150963791646e-05,0.013445316813886166,0.05,0.4,100
4,41.439712874449235,0.9906216328358134,7.074278983054683e-05,0.01258515752851963,0.05,0.4,100
5,45.750765501363134,0.9895483643677705,2.4603101337561384e-05,0.014380445703864098,0.05,0.4,100
6,44.48419780063007,0.9872003172911603,2.914552896982059e-05,0.014772409573197365,0.05,0.4,100
7,43.320983954092824,0.982150719507806,4.6080152969807386e-05,0.01510475855320692,0.05,0.4,100
8,44.49179985981193,0.989991340690107,3.524645944708027e-05,0.013458175584673882,0.05,0.4,100
9,43.26086012406279,0.9907777533473369,4.65391822217498e-05,0.017012344673275948,0.05,0.4,100
