sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,lambda_rd,anis_param,clip
0,35.63963900763104,0.9783046716753051,0.00026694461121223867,0.012168722227215767,0.07,0.9,10,1e-07,0.01,True
1,27.16347397207125,0.9458241240612555,0.0019192143809050322,0.014058385044336319,0.07,0.9,10,1e-07,0.2154434690031882,True
2,29.792213565521788,0.9295983186768768,0.000977860763669014,0.007069689687341452,0.07,0.9,10,1e-07,0.0046415888336127,True
3,37.63195120872374,0.9613472710068504,0.000159283954417333,0.003885613288730383,0.07,0.9,10,1e-07,0.0021544346900318,True
4,32.42808031454182,0.9742733333009931,0.0005634371773339808,0.010784938931465149,0.07,0.9,10,1e-07,0.0464158883361277,True
5,37.66125204789361,0.97073318533238,0.00015846786845941097,0.004090806003659964,0.07,0.9,10,1e-07,0.01,True
6,32.46272449320176,0.9707696224083227,0.0004642150888685137,0.006288872100412846,0.07,0.9,10,1e-07,0.0046415888336127,True
7,41.562414454762575,0.9838062626135731,6.9082947447896e-05,0.0033693346194922924,0.07,0.9,10,1e-07,0.1,True
8,31.475245508100894,0.9355947347809594,0.0007059451309032738,0.009857460856437683,0.07,0.9,10,1e-07,0.0215443469003188,True
9,19.253776509336888,0.7737314332872716,0.011709197424352169,0.0130870770663023,0.07,0.9,10,1e-07,0.1,True
10,23.082108256254973,0.9309467464393261,0.004860290791839361,0.017929935827851295,0.07,0.9,10,1e-07,0.1,True
11,33.6450090833784,0.9620624659554139,0.00043138486216776073,0.007035627495497465,0.07,0.9,10,1e-07,0.4641588833612777,True
12,34.87332090323421,0.9735560396492051,0.0003233715833630413,0.006704492960125208,0.07,0.9,10,1e-07,0.1,True
13,32.34233265930676,0.94745090520019,0.0005813862080685794,0.012022037990391254,0.07,0.9,10,1e-07,0.2154434690031882,True
14,34.96501750942304,0.9689228545001662,0.00031837442656978965,0.01227752398699522,0.07,0.9,10,1e-07,0.001,True
15,43.98303836861486,0.9783958999672664,3.990148616139777e-05,0.005470949690788984,0.07,0.9,10,1e-07,0.1,True
16,42.91993130865542,0.9859927451647472,5.088358375360258e-05,0.005909367464482784,0.07,0.9,10,1e-07,0.2154434690031882,True
17,41.20470465179312,0.9823854803669932,7.569567969767377e-05,0.006701924372464418,0.07,0.9,10,1e-07,0.2154434690031882,True
18,37.056478705462766,0.966504354941033,0.00019006057118531317,0.00497236754745245,0.07,0.9,10,1e-07,0.1,True
19,34.07141214335124,0.9788061475421622,0.0003785640583373606,0.007830177433788776,0.07,0.9,10,1e-07,0.0215443469003188,True
20,33.938057004626614,0.9394361254892728,0.0003455351397860795,0.006553067360073328,0.07,0.9,10,1e-07,0.1,True
21,43.70279679842645,0.9917507347861311,4.258419357938692e-05,0.00526011548936367,0.07,0.9,10,1e-07,0.2154434690031882,True
22,30.761997643120175,0.9720959227428347,0.0008231159299612045,0.014434251934289932,0.07,0.9,10,1e-07,0.0001,True
23,35.7488181656378,0.9482003662992803,0.00026562457787804306,0.013288194313645363,0.07,0.9,10,1e-07,0.0004641588833612,True
24,34.312006478752984,0.9544901582955453,0.00036898659891448915,0.013894107192754745,0.07,0.9,10,1e-07,0.01,True
