sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-68.82957134573458,-1.2458233016280515e-09,7470372.0,26715.46484375,0.5,200,0.8
1,-68.52781059642498,-3.0874395441673296e-09,7116262.5,26702.7265625,0.5,200,0.8
2,-69.0256540461308,4.035131632610891e-09,7448412.5,26715.5,0.5,200,0.8
3,-69.14683030626603,-2.2537730572772744e-09,7586651.5,26710.814453125,0.5,200,0.8
4,-68.73862780561227,5.393576687112666e-09,7370828.0,26713.08984375,0.5,200,0.8
5,-68.89767857484493,-8.938622299912317e-09,7175204.0,26697.70703125,0.5,200,0.8
6,-69.48909765544539,1.8656585007197227e-09,7276147.5,26751.5546875,0.5,200,0.8
7,-68.66148163738566,-3.2257228665233306e-09,7273785.5,26782.19140625,0.5,200,0.8
8,-68.56203984782694,-1.1543816055563336e-08,7120319.5,26740.52734375,0.5,200,0.8
9,-68.62680011380702,-8.007212749124027e-10,7187615.0,26751.0234375,0.5,200,0.8
