sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,16.013687290353843,0.5047874466171096,0.024491554126143456,0.06024468317627907,0.7,1.4,100,False
1,18.697662539776726,0.6887405150257853,0.013480456545948982,0.0585026815533638,0.7,1.4,100,False
2,25.766768881765792,0.7670517971275463,0.002470708219334483,0.037938740104436874,0.7,1.4,100,False
3,28.104150602114906,0.8545309689717215,0.001428736257366836,0.05110935866832733,0.7,1.4,100,False
4,19.97899182640857,0.6504180717395349,0.009902715682983398,0.07572408020496368,0.7,1.4,100,False
5,19.972923046603785,0.6577355670735182,0.00930623710155487,0.052718114107847214,0.7,1.4,100,False
6,19.65540836478486,0.6354992704619419,0.008860349655151367,0.06405394524335861,0.7,1.4,100,False
7,25.783858216031398,0.7709452753922141,0.0026135239750146866,0.04453812167048454,0.7,1.4,100,False
8,18.68066428155683,0.616606773851098,0.013434735126793385,0.05769115686416626,0.7,1.4,100,False
9,19.30827618007776,0.7067301656085646,0.011563177220523357,0.07184639573097229,0.7,1.4,100,False
