sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,42.66071318696538,0.9949736956072542,5.300462362356484e-05,0.008070211857557297,0.05,1.0,300
1,42.1816052880405,0.9873578659459656,6.0438036598498e-05,0.006635993253439665,0.05,1.0,300
2,39.09932144385914,0.9954510688381913,0.00011470073513919488,0.0056358687579631805,0.05,1.0,300
3,45.26499369606605,0.9955711973709956,2.747057624219451e-05,0.0043657803907990456,0.05,1.0,300
4,40.51917915679971,0.9952368604632477,8.74451216077432e-05,0.0044836727902293205,0.05,1.0,300
5,45.8069719117743,0.9954297036178587,2.428673906251788e-05,0.004110813140869141,0.05,1.0,300
6,45.62264129128464,0.9968056631408116,2.24247487494722e-05,0.004794263746589422,0.05,1.0,300
7,41.931524515687535,0.9909447843998948,6.345412839436904e-05,0.0036319263745099306,0.05,1.0,300
8,42.01585282282542,0.9938601894675148,6.233188469195738e-05,0.006104329600930214,0.05,1.0,300
9,45.112531672539404,0.9958395471698359,3.038446811842732e-05,0.006402844563126564,0.05,1.0,300
