sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-167.21186507489935,1.3904425680363775e-18,5.147206060133581e+16,1576393984.0,0.05,1.2,100
1,-167.79435701826583,-4.012029411268203e-18,6.010444665008947e+16,2091321984.0,0.05,1.2,100
2,-162.6326900831051,-2.7667213200642184e-19,1.7090994499485696e+16,735510016.0,0.05,1.2,100
3,-170.25843388224655,-6.347980252540458e-19,9.799649067637146e+16,2597338880.0,0.05,1.2,100
4,-164.2050341990726,-2.5536420417666704e-17,2.595116950749184e+16,1300248192.0,0.05,1.2,100
5,-169.17290814289657,-5.591001464512052e-19,7.644643213914931e+16,1246450304.0,0.05,1.2,100
6,-163.13111429553425,1.6006260078591545e-17,1.6830737734959104e+16,1008419712.0,0.05,1.2,100
7,-161.59124052650031,6.634145130495274e-19,1.4280268042993664e+16,756268416.0,0.05,1.2,100
8,-167.08318644211033,8.259989269359086e-19,5.065404542510694e+16,1817700864.0,0.05,1.2,100
9,-173.3326164253046,-1.1280077532315956e-18,2.1240583809715405e+17,4038606336.0,0.05,1.2,100
