sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,30.647542072444956,0.9332954158229894,0.00084261829033494,0.01968255266547203,1.0,1.2,200,False
1,31.590106751528584,0.9451707930403105,0.0006925645284354687,0.021684298291802406,1.0,1.2,200,False
2,31.124681834538976,0.896893964117341,0.0007194989593699574,0.018307896330952644,1.0,1.2,200,False
3,32.74362180808038,0.9616307951433063,0.0004909134586341679,0.0160197876393795,1.0,1.2,200,False
4,24.371751292057517,0.8789504133402759,0.0036014581564813852,0.02223663404583931,1.0,1.2,200,False
5,33.91290174865277,0.9755318049106928,0.0003756438090931624,0.015791045501828194,1.0,1.2,200,False
6,32.385079751440884,0.9622405099733449,0.0004725891340058297,0.01870727352797985,1.0,1.2,200,False
7,34.907561218090194,0.9060401193513098,0.00031978360493667424,0.014161121100187302,1.0,1.2,200,False
8,30.723595694492346,0.9461188923617512,0.0008393361349590123,0.01729985885322094,1.0,1.2,200,False
9,30.294972614686188,0.9185576088490086,0.0009213137673214078,0.027834098786115646,1.0,1.2,200,False
