sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,35.984140088169,0.9761424343437111,0.00024658750044181943,0.00824504904448986,0.05,1.2,300
1,42.75255443910187,0.9913360379920778,5.299262920743786e-05,0.006283882074058056,0.05,1.2,300
2,39.27408382302833,0.9898377125169716,0.00011017675569746643,0.006955725606530905,0.05,1.2,300
3,44.42326641168707,0.9927466261067012,3.334575012559071e-05,0.0051942444406449795,0.05,1.2,300
4,28.131056848639766,0.9365169467102694,0.0015154717257246375,0.00961903017014265,0.05,1.2,300
5,43.05574611227896,0.9923493414963485,4.5760611101286486e-05,0.005854741670191288,0.05,1.2,300
6,42.29502710643733,0.993078690964125,4.8249079554807395e-05,0.007686674129217863,0.05,1.2,300
7,40.86585935450016,0.9795978548864462,8.110103226499632e-05,0.0046090795658528805,0.05,1.2,300
8,35.38735834188676,0.969279326183262,0.00028678710805252194,0.007707270327955484,0.05,1.2,300
9,41.36582193240177,0.9877185182121146,7.199835818028077e-05,0.008969750255346298,0.05,1.2,300
