sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-77.65141038239555,1.1334149710620674e-09,56954248.0,73590.203125,0.5,500,0.6
1,-77.40722363105269,-6.389276371097903e-10,54978548.0,73698.3046875,0.5,500,0.6
2,-77.78841801340303,-8.367905043629542e-10,56019620.0,73563.515625,0.5,500,0.6
3,-78.02012447812486,1.064032947598051e-10,58530148.0,73686.8203125,0.5,500,0.6
4,-77.48063765010346,1.7112226338253026e-10,55171816.0,73671.8515625,0.5,500,0.6
5,-77.66445878177424,-1.3933505243203767e-09,54014740.0,73570.109375,0.5,500,0.6
6,-78.33892698062442,-1.0019122587811398e-10,55832160.0,73740.578125,0.5,500,0.6
7,-77.49506598325013,-3.303999643400684e-10,55605648.0,73828.6953125,0.5,500,0.6
8,-77.4137178892158,1.7300597603864045e-09,54659708.0,73659.4140625,0.5,500,0.6
9,-77.48348188695415,1.5534641369329234e-09,55239912.0,73636.125,0.5,500,0.6
