sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-239.6542376309752,9.488841707957883e-22,9.032518852134039e+23,3191714349056.0,0.25,100,0.4
1,-234.38242830209845,1.2417709230362182e-19,2.7397677156146028e+23,3290496761856.0,0.25,100,0.4
2,-234.81391280466238,7.681385527207173e-22,2.8241621101837792e+23,3406454063104.0,0.25,100,0.4
3,-235.57533843025408,8.100983839594929e-22,3.333503915800649e+23,3590523453440.0,0.25,100,0.4
4,-233.54229049115193,-5.759801603775774e-22,2.2278325571883077e+23,3015324205056.0,0.25,100,0.4
5,-237.81451073837164,1.8624861652163497e-22,5.591360170264785e+23,2508925435904.0,0.25,100,0.4
6,-237.391079609227,3.4956022809410873e-22,4.48848374558119e+23,2645021949952.0,0.25,100,0.4
7,-236.59684796021307,3.562056086207499e-22,4.521651856116848e+23,2799120154624.0,0.25,100,0.4
8,-242.3038738386614,1.8892673417322824e-21,1.685322064575027e+24,3603287244800.0,0.25,100,0.4
9,-231.7509627304922,4.270623526390237e-21,1.4757101624271937e+23,2208407748608.0,0.25,100,0.4
