sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,40.67005005917608,0.9728543941696608,8.382626401726156e-05,0.02363060601055622,0.05,0.2,400
1,42.01156075298844,0.9819282135388923,6.285138078965247e-05,0.014632370322942734,0.05,0.2,400
2,40.347872563258,0.9834105913576326,8.604211325291544e-05,0.0157617200165987,0.05,0.2,400
3,43.64516027999024,0.984626387048924,3.988881144323386e-05,0.016319606453180313,0.05,0.2,400
4,40.40855320591487,0.9826349532702636,8.970118506113067e-05,0.016998743638396263,0.05,0.2,400
5,43.51883293811259,0.9781127896994137,4.113230897928588e-05,0.019127722829580307,0.05,0.2,400
6,43.14445474280972,0.973398300516347,3.967767770518549e-05,0.018765296787023544,0.05,0.2,400
7,43.0816670541068,0.9693925280596819,4.869065014645457e-05,0.018427236005663872,0.05,0.2,400
8,43.48848102597583,0.9802371381913668,4.4406588131096214e-05,0.016719859093427658,0.05,0.2,400
9,42.35825693286972,0.9841922823612658,5.729003532906063e-05,0.023459486663341522,0.05,0.2,400
