sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,33.96219428862097,0.9618873587118459,0.00039279472548514605,0.016421595588326454,0.1,0.6,300
1,42.939774554990635,0.9925592822494644,5.0756709242705256e-05,0.01150807086378336,0.1,0.6,300
2,35.30459283341944,0.962317714404211,0.0002748141123447567,0.012848352082073689,0.1,0.6,300
3,46.27485870107285,0.9936850228422812,2.1771145839011297e-05,0.010652474127709866,0.1,0.6,300
4,25.675319954125186,0.8871412771283981,0.002667604945600033,0.0187397338449955,0.1,0.6,300
5,37.54794536954315,0.973432997239694,0.0001626566518098116,0.011744488030672073,0.1,0.6,300
6,41.416558912714336,0.991617297363478,5.906576552661136e-05,0.012958294712007046,0.1,0.6,300
7,37.28275020010547,0.955409369217107,0.00018507054483052343,0.010685237124562263,0.1,0.6,300
8,39.57533860564087,0.9850468347685256,0.00010933561134152114,0.013025976717472076,0.1,0.6,300
9,37.88610339492418,0.9852352954132023,0.00016043327923398465,0.017566988244652748,0.1,0.6,300
