sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,15.651986159007116,0.4702440716116375,0.026618676260113716,0.06659692525863647,0.05,0.4,100,False
1,18.592757260827796,0.6969214786753154,0.013810046948492527,0.06607303023338318,0.05,0.4,100,False
2,25.591335774679557,0.7359663862638921,0.002572555560618639,0.036716047674417496,0.05,0.4,100,False
3,27.665253431661494,0.8393624881071003,0.0015806721057742834,0.055017270147800446,0.05,0.4,100,False
4,19.70739095978321,0.629411919333146,0.010541790165007114,0.07044986635446548,0.05,0.4,100,False
5,20.021992897853487,0.6679138565021283,0.00920167937874794,0.05188369378447533,0.05,0.4,100,False
6,19.868332901794275,0.6242715416432459,0.008436424657702446,0.057067759335041046,0.05,0.4,100,False
7,26.200066622211647,0.7701367451333594,0.0023746828082948923,0.043122243136167526,0.05,0.4,100,False
8,19.24926039916365,0.6561276788970598,0.01178608275949955,0.062319718301296234,0.05,0.4,100,False
9,19.336584624569742,0.7513940477038314,0.01148805022239685,0.07019345462322235,0.05,0.4,100,False
