sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-86.9562505749583,-1.0729538101351037e-09,485299840.0,135793.984375,0.25,200,0.6
1,-86.08232875507974,6.015260060162038e-10,405232064.0,138596.109375,0.25,200,0.6
2,-87.17829091374131,-2.300524331488665e-09,486774048.0,141214.484375,0.25,200,0.6
3,-87.81946728743495,-1.201905157298749e-09,558873920.0,135184.859375,0.25,200,0.6
4,-87.4002576618787,1.1972175435629448e-09,541600768.0,137378.265625,0.25,200,0.6
5,-85.30578200264074,-1.5765089335489468e-09,313793984.0,138024.265625,0.25,200,0.6
6,-86.59522497245027,1.5810007650099344e-10,373692384.0,137621.46875,0.25,200,0.6
7,-90.07177447489752,2.1719582309668656e-09,1006444224.0,141625.234375,0.25,200,0.6
8,-85.78646220573194,2.9178162171182416e-09,375786976.0,141026.15625,0.25,200,0.6
9,-88.36595579364817,1.8100095562595554e-09,676862400.0,135473.046875,0.25,200,0.6
