sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,35.07937816751097,0.9716464483531883,0.00030370173044502735,0.009376357309520245,0.1,1.0,500
1,42.75179229356122,0.9918028766864101,5.3001927881268784e-05,0.007316586561501026,0.1,1.0,500
2,37.55726276537829,0.9816749741479954,0.00016359577421098948,0.007896890863776207,0.1,1.0,500
3,45.137143617764494,0.9944198519852632,2.8291289709159173e-05,0.0057252151891589165,0.1,1.0,500
4,27.279765744702793,0.9258247661366829,0.0018436433747410774,0.010737689211964607,0.1,1.0,500
5,40.431986165885206,0.986503900412251,8.372743468498811e-05,0.0063791582360863686,0.1,1.0,500
6,41.777189211829615,0.993437128785471,5.435917046270333e-05,0.008313058875501156,0.1,1.0,500
7,39.70962453727586,0.9719595595256217,0.00010584000847302377,0.005074299406260252,0.1,1.0,500
8,35.862343085982964,0.9740324680865488,0.00025707579334266484,0.008466973900794983,0.1,1.0,500
9,39.6367415589303,0.9845355412969894,0.00010720884165493771,0.011234628967940807,0.1,1.0,500
