sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,29.180992626961192,0.9110549939880427,0.0011810977011919022,0.021742310374975204,0.5,0.8,200
1,32.294140194984806,0.9256801546404236,0.0005889208405278623,0.016187885776162148,0.5,0.8,200
2,29.576857176560477,0.9629578677268451,0.001027572900056839,0.016412198543548584,0.5,0.8,200
3,34.39829817611744,0.9795341987020583,0.0003353800857439637,0.01371416449546814,0.5,0.8,200
4,30.91047067696305,0.9762689600880301,0.0007991097518242896,0.0138649707660079,0.5,0.8,200
5,32.31984634937135,0.965641859092272,0.0005421029636636376,0.013337656855583191,0.5,0.8,200
6,33.91156078437069,0.9844208346647129,0.00033253367291763425,0.013907920569181442,0.5,0.8,200
7,33.08290064066434,0.9556192092912731,0.00048676825826987624,0.00845293514430523,0.5,0.8,200
8,31.05250879720291,0.9405642952527312,0.0007781165186315775,0.016179412603378296,0.5,0.8,200
9,33.00368943122798,0.9603279260351439,0.0004937826888635755,0.01825895719230175,0.5,0.8,200
