sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,-74.07406097226725,1.2992991011840794e-09,24991434.0,44793.04296875,0.5,300,0.4
1,-73.16076108112243,-5.464406440811235e-09,20679832.0,44814.57421875,0.5,300,0.4
2,-73.65410159513047,3.879622657716187e-09,21622630.0,44749.12109375,0.5,300,0.4
3,-73.88619936177304,-8.402778447435839e-10,22593686.0,44764.96484375,0.5,300,0.4
4,-73.60638042439061,9.228262595888627e-10,22609532.0,44784.33203125,0.5,300,0.4
5,-73.68458479295302,-4.06825889499037e-09,21603538.0,44804.12890625,0.5,300,0.4
6,-74.12910942467326,-3.967522900328554e-10,21178864.0,44806.82421875,0.5,300,0.4
7,-73.31621943816114,-3.1517877825084715e-09,21243902.0,44880.01953125,0.5,300,0.4
8,-73.32380277830634,2.761927932929193e-09,21314532.0,44774.4296875,0.5,300,0.4
9,-73.27723725048817,-8.162080968405498e-10,20971454.0,44778.40234375,0.5,300,0.4
