sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_,clip
0,22.826071901372316,0.8275437589838909,0.005102439783513546,0.025192318484187126,0.7,0.4,200,True
1,22.567412104322138,0.8388750210431848,0.005530058406293392,0.035263314843177795,0.7,0.4,200,True
2,27.947783432640723,0.8985846255364036,0.0014952713390812278,0.017299877479672432,0.7,0.4,200,True
3,29.077970856475623,0.8824276635644885,0.0011417473433539271,0.028416888788342476,0.7,0.4,200,True
4,28.074705392625884,0.9205119442252367,0.0015352637274190784,0.021966727450489998,0.7,0.4,200,True
5,24.149682317127695,0.8436271839923998,0.0035571169573813677,0.029629765078425407,0.7,0.4,200,True
6,22.566635917657486,0.8158666472392463,0.004532399121671915,0.03727810084819794,0.7,0.4,200,True
7,25.674292932524224,0.8745098408269316,0.00268029747530818,0.016083253547549248,0.7,0.4,200,True
8,22.257468054695195,0.8158367565545658,0.0058958809822797775,0.03148919343948364,0.7,0.4,200,True
9,18.414343381133865,0.6752604358595646,0.01420595496892929,0.0479474775493145,0.7,0.4,200,True
