sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,zeta,lambda_
0,28.393393607296822,0.7534106431682824,0.001415942795574665,0.05332028493285179,0.5,0.2,300
1,27.777083603483188,0.6736457968530533,0.001666335854679346,0.06737595796585083,0.5,0.2,300
2,28.818472324086024,0.7615979076981866,0.0012236327165737748,0.05228736251592636,0.5,0.2,300
3,31.754832950517663,0.8315244127983772,0.0006164300721138716,0.04826393723487854,0.5,0.2,300
4,28.410852735553867,0.7224608850723058,0.0014209154760465026,0.05721146985888481,0.5,0.2,300
5,28.831603051423418,0.6693503049640953,0.0012103363405913115,0.07057994604110718,0.5,0.2,300
6,30.72027091316911,0.8071971715065593,0.0006933693075552583,0.05112519487738609,0.5,0.2,300
7,28.708128595040222,0.5936971189092818,0.0013329057255759835,0.07815797626972198,0.5,0.2,300
8,28.583675680588122,0.6930073136871034,0.0013738139532506466,0.05896998196840286,0.5,0.2,300
9,30.871557996698456,0.8088993248159101,0.0008067685994319618,0.054781246930360794,0.5,0.2,300
