sample_idx,sigma_y_tomo,procedure,scale,alpha_norm,sigma_used,reg_param,alpha_init,reg_fct_type,sampling_param,best_anis_param,best_anis_idx,ula_samples,time_ula,psnr_map,ssim_map,mse_map,psnr_mean,ssim_mean,mse_mean,post_std_mean
450,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.1,9,100000,95.27135252952576,40.85271736894213,0.9911136699605112,8.213869101655125e-05,41.59012358168708,0.9932068607655326,6.931179661970209e-05,0.01970161316286625
451,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.1,9,100000,98.13806629180908,35.214248085246346,0.9663719868809573,0.0002991158984946562,34.94491961733236,0.9780265040292656,0.0003182528810555116,0.02356748553451145
452,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.046415888336127774,8,100000,95.74934720993042,35.47364562549521,0.9849523853563211,0.00028264616094427966,36.05308235273195,0.9892217193806686,0.0002473428828392942,0.022343558648759122
453,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,95.69674015045166,34.99682965633855,0.9683563540671148,0.0003145850544553918,34.118376455763816,0.9771476720845715,0.0003851087675287852,0.026599727215281012
454,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.002154434690031882,4,100000,96.72376942634583,35.83738432679319,0.9687965677622589,0.00025484799614959705,34.47169921814809,0.9734444306908492,0.00034901953372053023,0.025393152946409377
455,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.1,9,100000,95.78335213661194,31.845588914103242,0.9665184489018597,0.00065080272244204,32.316636144999144,0.979136317087247,0.0005839082856434187,0.02126509573888259
456,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,95.39721965789795,32.41118885095493,0.9544305210793148,0.0005678724843259297,32.51100600548657,0.9613110340708912,0.0005549694931210637,0.024894057685132087
457,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.01,6,100000,95.82173204421997,33.6258377455165,0.9570095079497468,0.0003716711697354183,33.36419733278755,0.9576883639008654,0.0003947507063285674,0.02340478433474037
458,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.21544346900318823,10,100000,95.45971393585205,40.40362118818285,0.9948059577188041,9.095869873402822e-05,40.83998340180848,0.9959598246741361,8.226365800249876e-05,0.020631152155644032
459,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.046415888336127774,8,100000,95.77688455581665,32.555827251047496,0.9644548941870115,0.0005542666551193381,33.44344281386961,0.9779362461598642,0.0004518114114900997,0.022814044531757473
460,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.021544346900318822,7,100000,96.71284747123718,30.635231863662625,0.9524350701865903,0.0008571402949172535,31.715744282024833,0.9735958654412444,0.0006683449491231268,0.027669988015737907
461,0.25,False,1.0,1.0,0.25,0.1,0.01,anisotropic,0.0125,0.21544346900318823,10,100000,96.91653728485107,35.48053241251769,0.9833251309844613,0.0002828122288871,36.04849144684934,0.9887493922155017,0.0002481431443655044,0.02202266020619619
