sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling
0,34.10331120846967,0.96609732941931,0.00038023662636987865,0.011239355430006981,0.25,1.0,1.0
1,38.85315267213452,0.982625121302649,0.00013006354856770486,0.008452891372144222,0.25,1.0,1.0
2,35.39733453162412,0.969086842840178,0.000269007810857147,0.009285452775657177,0.25,1.0,1.0
3,43.06752702451814,0.9870823259908471,4.5563218009192497e-05,0.007822779007256031,0.25,1.0,1.0
4,28.18881102961042,0.9396125889941666,0.0014954517828300595,0.012793845497071743,0.25,1.0,1.0
5,40.614676044230066,0.9808240022714046,8.027841977309436e-05,0.007783770561218262,0.25,1.0,1.0
6,40.29657662564546,0.9905511761935749,7.64423530199565e-05,0.010283094830811024,0.25,1.0,1.0
7,38.65362228359671,0.9647742288016067,0.00013497399049811065,0.007115361280739307,0.25,1.0,1.0
8,34.167302812507224,0.9671970814451099,0.0003798089746851474,0.009576682932674885,0.25,1.0,1.0
9,35.85052886767107,0.9588219670749917,0.000256360974162817,0.012599026784300804,0.25,1.0,1.0
10,40.108587545823696,0.9937705069749594,9.638608025852591e-05,0.008534939959645271,0.25,1.0,1.0
11,44.128744953803434,0.9869783929058027,3.859146818285808e-05,0.007360984571278095,0.25,1.0,1.0
12,36.01343373961798,0.9821590669260921,0.00024870847119018435,0.010025223717093468,0.25,1.0,1.0
13,40.76113073958891,0.9895084826938877,8.367290865862742e-05,0.009154855273663998,0.25,1.0,1.0
14,49.057914652204396,0.9969857318021196,1.240647634404013e-05,0.007723899092525244,0.25,1.0,1.0
15,50.52203985642052,0.9945401825064599,8.852969585859682e-06,0.00576026039198041,0.25,1.0,1.0
16,45.22738424215503,0.9911303822224108,2.9911101592006162e-05,0.005863566882908344,0.25,1.0,1.0
17,48.22318090562271,0.9951557318215769,1.5039155186968856e-05,0.006217569578438997,0.25,1.0,1.0
18,33.55883729047636,0.945375796538173,0.00042526156175881624,0.009661132469773293,0.25,1.0,1.0
19,41.1819326881291,0.9831422270036334,7.363552140304819e-05,0.00817164033651352,0.25,1.0,1.0
20,40.52410534562807,0.9860718616883206,7.58380992920138e-05,0.008208191022276878,0.25,1.0,1.0
21,44.357297230518284,0.987024699817378,3.662675226223655e-05,0.007142421789467335,0.25,1.0,1.0
22,40.79206063101525,0.9909205419021986,8.174378308467567e-05,0.010259211994707584,0.25,1.0,1.0
23,44.848635223454735,0.9891677230012184,3.268033833592199e-05,0.0072286855429410934,0.25,1.0,1.0
24,36.67289081046175,0.9750159202130094,0.00021425067097879946,0.011730220168828964,0.25,1.0,1.0
25,44.82345850148669,0.9902100428800464,3.277452560723759e-05,0.006842976436018944,0.25,1.0,1.0
26,30.59975547486446,0.9078962570411933,0.0007255396340042353,0.016631118953227997,0.25,1.0,1.0
27,44.40988631828945,0.988065780685413,3.61820675607305e-05,0.005933576729148626,0.25,1.0,1.0
28,36.738392861879916,0.9783747835609566,0.00018489825015421957,0.01273797545582056,0.25,1.0,1.0
29,32.703812491622266,0.965687506066172,0.0005359129863791168,0.009786666370928288,0.25,1.0,1.0
30,35.076272498951134,0.9554072300604591,0.0003102493064943701,0.010386569425463676,0.25,1.0,1.0
31,40.6571979181178,0.9888113036797881,8.513986540492624e-05,0.009360191412270069,0.25,1.0,1.0
32,44.60424080255799,0.99004011989501,3.460291191004217e-05,0.006817735265940428,0.25,1.0,1.0
33,42.34663813445894,0.9862868302147085,5.820172737003304e-05,0.007868164218962193,0.25,1.0,1.0
34,45.37490576207336,0.9935057929518053,2.8964395824004896e-05,0.006776927504688501,0.25,1.0,1.0
35,39.21989981542454,0.9860892597320648,0.00011951851774938405,0.009140229783952236,0.25,1.0,1.0
36,37.91637348547675,0.9863509404001098,0.0001582762342877686,0.009835004806518555,0.25,1.0,1.0
37,41.98111147773786,0.9852143969728974,6.30978393019177e-05,0.009227571077644825,0.25,1.0,1.0
38,38.23846315727971,0.9815978021490684,0.0001483962550992146,0.011747892014682293,0.25,1.0,1.0
39,28.744934520696013,0.9103012442059231,0.0013265373418107629,0.020247526466846466,0.25,1.0,1.0
40,37.08982556210887,0.9638579913181463,0.00019513755978550762,0.0076174307614564896,0.25,1.0,1.0
41,31.809789145570385,0.9584932327232063,0.0006554335705004632,0.016566885635256767,0.25,1.0,1.0
42,42.88209625152704,0.9723951412582053,5.113875158713199e-05,0.006350994110107422,0.25,1.0,1.0
43,45.76927475803376,0.9909024789729478,2.64350492216181e-05,0.006983994040638208,0.25,1.0,1.0
44,36.129195072866,0.9677362035963804,0.00023595087986905128,0.009253080002963543,0.25,1.0,1.0
45,35.56917640092127,0.9602549830288217,0.00026983857969753444,0.00816754437983036,0.25,1.0,1.0
46,35.10344977924165,0.9845050877523372,0.00029940143576823175,0.009446351788938046,0.25,1.0,1.0
47,32.33366259929399,0.9460580525237402,0.0005760144558735192,0.0109592005610466,0.25,1.0,1.0
48,44.07185154366373,0.9953085068455667,3.89722699765116e-05,0.009570454247295856,0.25,1.0,1.0
49,43.15883697890015,0.9947107275111756,4.814911153516732e-05,0.010204571299254894,0.25,1.0,1.0
50,37.56593517619311,0.9761449735538632,0.00015647413965780288,0.008865016512572765,0.25,1.0,1.0
51,35.40548646010781,0.9418529258854496,0.0002864639100152999,0.007900596596300602,0.25,1.0,1.0
52,38.56988509421774,0.9840151508741457,0.00010855175787582994,0.0101461885496974,0.25,1.0,1.0
53,43.633644306644385,0.9877213084660816,4.326544876676053e-05,0.007791104726493359,0.25,1.0,1.0
54,32.77520041318218,0.9597556498612905,0.0005273226415738463,0.012991598807275295,0.25,1.0,1.0
55,37.66721038975731,0.9738004179546461,0.00016963115194812417,0.008301516063511372,0.25,1.0,1.0
56,37.48044049012063,0.9796069922123654,0.0001774492848198861,0.008344318717718124,0.25,1.0,1.0
57,36.14413079692432,0.9802952592094862,0.00018216954777017236,0.011103460565209389,0.25,1.0,1.0
58,43.63138628102013,0.9929968158803857,4.332464959588833e-05,0.00830005668103695,0.25,1.0,1.0
59,43.166711577528815,0.9947182448163736,4.8209763917839155e-05,0.00770416297018528,0.25,1.0,1.0
60,40.72164222399312,0.9901954707284953,8.015421917662024e-05,0.008685609325766563,0.25,1.0,1.0
61,42.89721983250158,0.9890757608924242,4.711603105533868e-05,0.008296596817672253,0.25,1.0,1.0
62,40.04716736394627,0.9857032894242412,9.877367847366259e-05,0.010313065722584724,0.25,1.0,1.0
63,36.11243901805507,0.9602701998170623,0.00024283886887133121,0.018456893041729927,0.25,1.0,1.0
64,37.50519807885982,0.9600458418406446,0.00017748662503436208,0.00987353827804327,0.25,1.0,1.0
65,32.52617991686464,0.9558493311183432,0.0005477361264638603,0.009309597313404083,0.25,1.0,1.0
66,42.7241967049912,0.9872744690523059,5.336753019946627e-05,0.007853127084672451,0.25,1.0,1.0
67,28.52651198222492,0.9242632704026713,0.0012695970945060253,0.014959609135985374,0.25,1.0,1.0
68,38.75506192037053,0.9872217103454474,0.00011397878552088514,0.0108048589900136,0.25,1.0,1.0
69,34.819208567534105,0.9773828037183105,0.00032750071841292083,0.013567148707807064,0.25,1.0,1.0
70,42.316153015004126,0.9913416562219399,5.8598630857886747e-05,0.007063114084303379,0.25,1.0,1.0
71,33.42396614391519,0.9684766972028065,0.00043710446334443986,0.015375085175037384,0.25,1.0,1.0
72,38.220069358534126,0.9862419787113881,0.00015057616110425442,0.007611908484250307,0.25,1.0,1.0
73,33.42014939419218,0.9494740347059826,0.0004473225271794945,0.01311879325658083,0.25,1.0,1.0
74,43.53898659686103,0.9912772703958124,4.315888145356439e-05,0.009352287277579308,0.25,1.0,1.0
75,39.741459072685714,0.9928789360081571,0.00010591623868094757,0.008915447629988194,0.25,1.0,1.0
76,39.062707489052926,0.9811712451340675,0.00012375750520732254,0.009762371890246868,0.25,1.0,1.0
77,39.27969222504225,0.9804529027457822,0.00011791053111664951,0.006774198263883591,0.25,1.0,1.0
78,44.171396352200524,0.9930006895364254,3.817707329289988e-05,0.008125565946102142,0.25,1.0,1.0
79,41.336251737333534,0.9914529257760575,6.836122338427231e-05,0.008665768429636955,0.25,1.0,1.0
80,35.25446819532161,0.9762221488821002,0.0002842482062987983,0.010596994310617447,0.25,1.0,1.0
81,32.16995792434083,0.9538959492232469,0.0006022165762260556,0.011497367173433304,0.25,1.0,1.0
82,44.42800024243653,0.987498255936723,3.600385753088631e-05,0.0071564000099897385,0.25,1.0,1.0
83,47.64385988641745,0.9924852002116057,1.70325547514949e-05,0.006218130700290203,0.25,1.0,1.0
84,35.09465054406864,0.9547555426825741,0.00030882121063768864,0.005700079724192619,0.25,1.0,1.0
85,37.18265897415691,0.989929453307384,0.00019005249487236142,0.010738708078861237,0.25,1.0,1.0
86,30.85358467258139,0.9573994716292995,0.0007845803047530353,0.016940997913479805,0.25,1.0,1.0
87,41.6453992164493,0.9938900280816882,6.5646119765006e-05,0.00789550319314003,0.25,1.0,1.0
88,47.12672180967452,0.9957033758069954,1.9359747966518626e-05,0.006031604949384928,0.25,1.0,1.0
89,36.34446829590887,0.97002069199971,0.00022972554143052548,0.009818118996918201,0.25,1.0,1.0
90,42.650867347291424,0.9908388141077492,5.344493911252357e-05,0.00868209544569254,0.25,1.0,1.0
91,44.15482772676214,0.9884262195835418,3.8363083149306476e-05,0.005954095162451267,0.25,1.0,1.0
92,44.70188348418162,0.9927896883711603,3.384872616152279e-05,0.005675225052982569,0.25,1.0,1.0
93,43.10196497304962,0.9833673438128426,4.8928606702247635e-05,0.007592575624585152,0.25,1.0,1.0
94,42.3701558626358,0.9837358088008636,5.629408769891597e-05,0.00822188425809145,0.25,1.0,1.0
95,40.966692936137825,0.9787605038322162,7.988008292159066e-05,0.008631969802081585,0.25,1.0,1.0
96,46.35867139430445,0.9897904672397548,2.3107755623641424e-05,0.006606918293982744,0.25,1.0,1.0
97,51.50831053361762,0.9983400638043204,7.0573569246334955e-06,0.005495825316756964,0.25,1.0,1.0
98,38.641493275554694,0.9876646614326904,0.00013490865239873528,0.011889868415892124,0.25,1.0,1.0
99,44.80081225767307,0.991792344410353,3.308827945147641e-05,0.007193118799477816,0.25,1.0,1.0
100,45.981071363123846,0.9940108247524199,2.5213743356289342e-05,0.007063671946525574,0.25,1.0,1.0
101,40.33244972645149,0.9784479887984977,4.19053430960048e-05,0.00642597209662199,0.25,1.0,1.0
102,32.421623805346044,0.968701609332495,0.00048477959353476763,0.011697966605424881,0.25,1.0,1.0
103,40.9156108837561,0.9851900978846201,8.097608952084556e-05,0.005883006379008293,0.25,1.0,1.0
104,38.95090196542303,0.9823337300335536,0.00012103984772693366,0.013248958624899387,0.25,1.0,1.0
105,34.114499998447414,0.9628463000485864,0.0003863406600430608,0.012859792448580265,0.25,1.0,1.0
106,45.540771518286434,0.9967392545550969,2.7872045393451117e-05,0.008028075098991394,0.25,1.0,1.0
107,39.256350919514496,0.9769454962344238,0.00011866987188113853,0.0062760584987699986,0.25,1.0,1.0
108,41.34557625401547,0.9902988887085388,7.328212086576968e-05,0.008958195336163044,0.25,1.0,1.0
109,43.99702525142568,0.9908279877605822,3.979707253165543e-05,0.010684458538889885,0.25,1.0,1.0
110,43.00688162075157,0.993067473357676,4.996501957066357e-05,0.007058981340378523,0.25,1.0,1.0
111,39.291509006591035,0.9885624382948605,9.271722956327721e-05,0.008628499694168568,0.25,1.0,1.0
112,37.34808358011522,0.988583726318259,0.00018214236479252577,0.011428880505263805,0.25,1.0,1.0
113,46.54952403245727,0.9924218323700691,2.2129048375063576e-05,0.006386277731508017,0.25,1.0,1.0
114,38.05966529727898,0.9773230631100503,0.00015366151637863368,0.011133085936307907,0.25,1.0,1.0
115,39.233834450087585,0.9810766604478145,0.00011900084064109251,0.009810308925807476,0.25,1.0,1.0
116,41.50044544997493,0.9933936105208746,7.051535067148507e-05,0.010524033568799496,0.25,1.0,1.0
117,47.228002258852094,0.9958026539245995,1.8929442376247607e-05,0.00605367636308074,0.25,1.0,1.0
118,32.02101984574592,0.9598305297263882,0.0006221275543794036,0.010742382146418095,0.25,1.0,1.0
119,36.000061759894,0.9878061026550052,0.00024935940746217966,0.0092939967289567,0.25,1.0,1.0
120,41.85358937543888,0.9891397784184376,6.496586138382554e-05,0.008733385242521763,0.25,1.0,1.0
121,41.20439262634385,0.9911176303499624,7.358092261711136e-05,0.009294173680245876,0.25,1.0,1.0
122,38.24355893460509,0.974401732093594,0.00013728949124924839,0.007581701502203941,0.25,1.0,1.0
123,41.40830296090961,0.986352218870531,7.221375562949106e-05,0.010677930898964405,0.25,1.0,1.0
124,38.0124711415787,0.9786403634661368,0.00015790910401847214,0.0077952309511601925,0.25,1.0,1.0
125,35.10791376670455,0.9735378283080793,0.0003068594669457525,0.010522817261517048,0.25,1.0,1.0
126,31.772303608177314,0.9269926573223866,0.000625195330940187,0.01406828872859478,0.25,1.0,1.0
127,34.92549323138563,0.9853500896993682,0.0003180143248755485,0.010504575446248055,0.25,1.0,1.0
128,40.91591252218261,0.991808799613494,8.038204396143556e-05,0.007990937680006027,0.25,1.0,1.0
129,42.221063328865284,0.9896683614966301,5.465373396873474e-05,0.008687695488333702,0.25,1.0,1.0
130,34.75648978511022,0.9816290913812885,0.0003278296208009124,0.009614914655685425,0.25,1.0,1.0
131,39.539487363044444,0.9911720456691965,9.984554344555363e-05,0.009417729452252388,0.25,1.0,1.0
132,45.718513937651636,0.9948326769843313,2.674034476513043e-05,0.00817304290831089,0.25,1.0,1.0
133,40.26538879690868,0.9796207142595905,9.343744750367478e-05,0.01067966129630804,0.25,1.0,1.0
134,37.887228217759464,0.9868099459738185,0.0001586854923516512,0.014502821490168571,0.25,1.0,1.0
135,32.03037767400487,0.9734509427973115,0.0005557914264500141,0.008555591106414795,0.25,1.0,1.0
136,40.04902428338114,0.9886374433281744,9.689256694400683e-05,0.010608074255287647,0.25,1.0,1.0
137,47.50140367789116,0.9959953640605889,1.775887722033076e-05,0.0055859824642539024,0.25,1.0,1.0
138,46.04294456277525,0.9950851902319551,2.486292396497447e-05,0.006441411562263966,0.25,1.0,1.0
139,44.916334289874854,0.9927110567427518,3.22303494613152e-05,0.0075539480894804,0.25,1.0,1.0
140,40.425265027162155,0.9896199626173398,8.206709026126191e-05,0.008224067278206348,0.25,1.0,1.0
141,43.493354750202336,0.9808865413300393,4.455168891581707e-05,0.006024562753736973,0.25,1.0,1.0
142,43.67215194978728,0.9915886010793955,4.283091766410507e-05,0.011464469134807587,0.25,1.0,1.0
143,42.20902662479578,0.9894564126082864,6.000223584123887e-05,0.012351419776678085,0.25,1.0,1.0
144,49.917362302576855,0.9974680503886059,1.018022248899797e-05,0.00601297477260232,0.25,1.0,1.0
145,40.94818009990911,0.9852891042136556,8.01429123384878e-05,0.010106903500854969,0.25,1.0,1.0
146,38.9941609284671,0.9726353055298698,0.0001257803087355569,0.01119345985352993,0.25,1.0,1.0
147,41.539134836408856,0.9961025387940639,6.998084427323192e-05,0.011073664762079716,0.25,1.0,1.0
148,33.96348969942237,0.9742877725723235,0.0003425281902309507,0.010333212092518806,0.25,1.0,1.0
149,33.366483478714684,0.9548922048033944,0.0004155983042437583,0.01080881617963314,0.25,1.0,1.0
150,43.61134576049294,0.9942223031239121,4.346981586422771e-05,0.006167232524603605,0.25,1.0,1.0
151,33.44384305296829,0.9633656958208426,0.000406327482778579,0.010861380957067013,0.25,1.0,1.0
152,44.99737522860449,0.99005706958911,3.162408393109217e-05,0.0067130932584404945,0.25,1.0,1.0
153,44.247846418536696,0.992903208508088,3.757423110073432e-05,0.006147012114524841,0.25,1.0,1.0
154,42.60046584033145,0.9822846094090626,5.487841917783953e-05,0.006066568195819855,0.25,1.0,1.0
155,44.77338490031051,0.992668863036069,3.3241056371480227e-05,0.010206804610788822,0.25,1.0,1.0
156,44.3747799669335,0.9885527621512565,3.642490628408268e-05,0.006655666045844555,0.25,1.0,1.0
157,37.93277404768455,0.9739806141062295,0.00016039989714045078,0.011357659474015236,0.25,1.0,1.0
158,41.502910831239895,0.9949758837712684,6.602760549867526e-05,0.010166284628212452,0.25,1.0,1.0
159,35.42449073401314,0.960562019110095,0.00028496995219029486,0.008614268153905869,0.25,1.0,1.0
160,42.27369993262908,0.9824327396073208,5.922626223764382e-05,0.006359931547194719,0.25,1.0,1.0
161,41.167993232502695,0.9918996820724171,7.621646363986656e-05,0.00725130271166563,0.25,1.0,1.0
162,47.4346580160174,0.992706535893451,1.801566941139754e-05,0.00767434062436223,0.25,1.0,1.0
163,42.232918173260586,0.9920562991970464,5.943054929957725e-05,0.01180734857916832,0.25,1.0,1.0
164,42.77756661346251,0.9893335124287443,5.2541745390044525e-05,0.01006000954657793,0.25,1.0,1.0
165,29.364880587923277,0.9197980705744773,0.001095474581234157,0.010262703523039818,0.25,1.0,1.0
166,36.649732729469,0.9720084545393816,0.00021622618078254163,0.009120364673435688,0.25,1.0,1.0
167,34.920024039168986,0.9694520970162531,0.00032090500462800264,0.008575042709708214,0.25,1.0,1.0
168,41.55481653521298,0.9887206181191808,6.985716754570603e-05,0.008105007000267506,0.25,1.0,1.0
169,41.75012266755827,0.987328689733772,6.676646444248036e-05,0.0063663022592663765,0.25,1.0,1.0
170,43.779082416114356,0.9921036632529723,4.180914402240887e-05,0.00575664360076189,0.25,1.0,1.0
171,41.378192933730055,0.9895924774947181,7.075718167470768e-05,0.013586723245680332,0.25,1.0,1.0
172,37.33177393874276,0.9647546215722927,0.00018438314145896584,0.007434481289237738,0.25,1.0,1.0
173,36.58798200867685,0.9789449774167117,0.00021832682250533253,0.010153212584555149,0.25,1.0,1.0
174,36.41720313178557,0.978692329343566,0.00022695845109410584,0.008113169111311436,0.25,1.0,1.0
175,35.17133241406218,0.9731626941354405,0.00022907448874320835,0.013583702966570854,0.25,1.0,1.0
176,39.774912053087974,0.9812047626127338,0.00010525123798288405,0.011471821926534176,0.25,1.0,1.0
177,47.215929285130656,0.997631996608617,1.8971177269122563e-05,0.005260250065475702,0.25,1.0,1.0
178,33.769278115740676,0.9667487106640642,0.00039480288978666067,0.011170468293130398,0.25,1.0,1.0
179,36.79207130646239,0.9642027650947296,0.00020836405747104436,0.008174152113497257,0.25,1.0,1.0
180,36.758320386628924,0.9517766769102729,0.00020716304425150156,0.008210836909711361,0.25,1.0,1.0
181,37.53527794492518,0.9835887068365503,0.00017552288773003966,0.008309917524456978,0.25,1.0,1.0
182,44.78908790239941,0.9916734001738614,3.317375740152784e-05,0.007103546056896448,0.25,1.0,1.0
183,31.664242698468698,0.9611033133055219,0.0006807639147154987,0.009695077314972878,0.25,1.0,1.0
184,43.837234278179494,0.9941529412326183,4.100280057173222e-05,0.009178287349641323,0.25,1.0,1.0
185,37.99187263416352,0.9886400644408906,0.00015838295803405344,0.008963215164840221,0.25,1.0,1.0
186,43.86178908679868,0.9902919044927669,4.107684799237177e-05,0.007786579895764589,0.25,1.0,1.0
187,43.54888326055424,0.9920268679735461,4.3965257646050304e-05,0.012519453652203083,0.25,1.0,1.0
188,44.503898554637146,0.9925904642748267,3.537931479513645e-05,0.005114090628921986,0.25,1.0,1.0
189,39.84344976003791,0.9874217514529193,0.0001024580342345871,0.010724857449531555,0.25,1.0,1.0
190,42.9800438028969,0.9934245180050286,5.024576239520684e-05,0.007106604520231485,0.25,1.0,1.0
191,45.324755430196795,0.9910597850571475,2.932870847871527e-05,0.0056474176235497,0.25,1.0,1.0
192,45.074749518188845,0.9925963679180548,3.098171509918757e-05,0.007066434249281883,0.25,1.0,1.0
193,43.20853203837067,0.9926848858287337,4.6690194722032174e-05,0.00869480986148119,0.25,1.0,1.0
194,42.29342591580539,0.9816953087277457,5.887605220777914e-05,0.012254508212208748,0.25,1.0,1.0
195,38.21340781528354,0.9869860191401806,0.00015036737022455782,0.008810242637991905,0.25,1.0,1.0
196,36.28142203793088,0.9809115297162003,0.00023066831636242568,0.01169950794428587,0.25,1.0,1.0
197,42.81918477488928,0.9919441138135636,5.206383502809331e-05,0.009762231260538101,0.25,1.0,1.0
198,42.708688108561894,0.9891687076927093,5.3445772209670395e-05,0.010104523971676826,0.25,1.0,1.0
199,40.593887259780715,0.988517458870684,8.289403922390193e-05,0.008962053805589676,0.25,1.0,1.0
200,40.421344613500374,0.9911620351644492,8.918499224819243e-05,0.010428502224385738,0.25,1.0,1.0
201,36.19820136432341,0.9798488977862093,0.00023459758085664362,0.013149176724255085,0.25,1.0,1.0
202,39.01273891747151,0.9758199680715769,0.0001250151835847646,0.009179187007248402,0.25,1.0,1.0
203,42.88266087926314,0.9921237518636066,5.0440456107025966e-05,0.010720403864979744,0.25,1.0,1.0
204,45.69382548718253,0.9946575872638523,2.691570080060046e-05,0.006393620744347572,0.25,1.0,1.0
205,42.78331365488977,0.9897415336256057,5.254252755548805e-05,0.011228799819946289,0.25,1.0,1.0
206,43.34113383123344,0.9904667813988293,4.62604766653385e-05,0.005759827326983213,0.25,1.0,1.0
207,44.07065871933148,0.990072515557671,3.915491470252164e-05,0.008936755359172821,0.25,1.0,1.0
208,39.46034590523687,0.9907784782603798,0.00011310772970318794,0.010153464041650295,0.25,1.0,1.0
209,44.762704716360886,0.9926446529088006,3.336058944114484e-05,0.005962398834526539,0.25,1.0,1.0
210,40.17342324767299,0.9880314461802304,9.515378769719973e-05,0.011397426016628742,0.25,1.0,1.0
211,41.15196057984736,0.9926040204870442,7.553955219918862e-05,0.008351163007318974,0.25,1.0,1.0
212,44.15535132348939,0.9914794345573744,3.8380057958420366e-05,0.00625603599473834,0.25,1.0,1.0
213,30.99944684166315,0.9520735805575478,0.0007074122549965978,0.011196168139576912,0.25,1.0,1.0
214,45.24038884614256,0.9932262725259251,2.9876313419663347e-05,0.006718827411532402,0.25,1.0,1.0
215,40.69059971893105,0.9865620871938542,7.9175821156241e-05,0.011195716448128223,0.25,1.0,1.0
216,31.044273229523768,0.923652099550224,0.0006789655890315771,0.011878913268446922,0.25,1.0,1.0
217,35.870107543697436,0.9556086413962123,0.0002575476246420294,0.00820183102041483,0.25,1.0,1.0
218,40.01745786783608,0.9789345877243146,9.93711655610241e-05,0.007175911217927933,0.25,1.0,1.0
219,41.56446426889147,0.9866923980791625,6.969390233280137e-05,0.008404918946325779,0.25,1.0,1.0
220,36.060808422503584,0.9811433338405424,0.00024553301045671105,0.01097732875496149,0.25,1.0,1.0
221,46.17086789081667,0.9885452723570776,2.411330206086859e-05,0.0072714765556156635,0.25,1.0,1.0
222,33.205961591597976,0.9718099999307848,0.00046204013051465154,0.009287371300160885,0.25,1.0,1.0
223,44.280784024452856,0.9933819739903459,3.728707815753296e-05,0.007863293401896954,0.25,1.0,1.0
224,37.179195155942686,0.9833517501628559,0.00018202968931291252,0.010245674289762974,0.25,1.0,1.0
225,41.794880126921505,0.983740448721053,6.612117431359366e-05,0.005848099011927843,0.25,1.0,1.0
226,43.87988746097218,0.9891224974387693,4.09098865929991e-05,0.0066812848672270775,0.25,1.0,1.0
227,44.715575085142795,0.9918039156002895,3.370781632838771e-05,0.006022971123456955,0.25,1.0,1.0
228,43.29583461787224,0.988321828430036,4.670214548241347e-05,0.013562056235969067,0.25,1.0,1.0
229,31.55462594482927,0.9658656153285835,0.0004515723849181086,0.009898146614432335,0.25,1.0,1.0
230,34.92385176590927,0.9639779766300699,0.0002913146454375237,0.016071945428848267,0.25,1.0,1.0
231,42.588460737361075,0.9839596044968033,5.496956509887241e-05,0.0065106116235256195,0.25,1.0,1.0
232,47.07282255152205,0.9930317246108109,1.9579203581088223e-05,0.005661191884428263,0.25,1.0,1.0
233,38.91857993597128,0.9793153187631023,0.00012812193017452955,0.009856102988123894,0.25,1.0,1.0
234,39.97498269973322,0.9846661137368903,9.656881593400612e-05,0.017107302322983742,0.25,1.0,1.0
235,43.88548175499082,0.9893843483937168,4.073278250871226e-05,0.009012507274746895,0.25,1.0,1.0
236,42.62241165218988,0.9816730551736889,5.460211468744092e-05,0.006583252921700478,0.25,1.0,1.0
237,43.63940509273158,0.9926728012484294,4.279685526853427e-05,0.009117573499679565,0.25,1.0,1.0
238,33.63057887616094,0.9478626437023882,0.00042810323066078126,0.017129939049482346,0.25,1.0,1.0
239,46.90685835397928,0.9944847298418897,2.0369590856716968e-05,0.0071792914532125,0.25,1.0,1.0
240,42.22827945957188,0.991898216453253,5.967326433164999e-05,0.00745023600757122,0.25,1.0,1.0
241,42.95065971867974,0.9928383224858096,5.061514093540609e-05,0.006991703063249588,0.25,1.0,1.0
242,37.82622073538337,0.9781426853424379,0.00016466171655338258,0.00865573063492775,0.25,1.0,1.0
243,41.33747802766039,0.9821798324246648,6.9560126576107e-05,0.008593506179749966,0.25,1.0,1.0
244,41.73216326758382,0.9656395227162954,6.70220106258057e-05,0.009922998026013374,0.25,1.0,1.0
245,39.238536585856366,0.9654759732877568,0.00010399573511676863,0.00974218174815178,0.25,1.0,1.0
246,37.10839596676894,0.9866102038276208,0.00019160682859364897,0.009301647543907166,0.25,1.0,1.0
247,40.0092550394406,0.9843611881613609,9.964426863007247e-05,0.010666785761713982,0.25,1.0,1.0
248,38.29140026869261,0.9783651700668168,0.00012648128904402256,0.008361810818314552,0.25,1.0,1.0
249,47.75280618498668,0.9932867539402624,1.6732146832509898e-05,0.006994832307100296,0.25,1.0,1.0
250,48.293979774895696,0.997036853703306,1.479231650591828e-05,0.006010283716022968,0.25,1.0,1.0
251,38.70688343751401,0.9845247356638205,0.000116512477688957,0.00631666649132967,0.25,1.0,1.0
252,41.68547861337235,0.990051871959516,6.707113061565906e-05,0.007986076176166534,0.25,1.0,1.0
253,41.980815282947034,0.9724092350886333,6.215752364369109e-05,0.006602236535400152,0.25,1.0,1.0
254,40.79236907555347,0.9907777155331414,8.280203473987058e-05,0.009483901783823967,0.25,1.0,1.0
255,28.206296564563612,0.9018577537493361,0.001167316222563386,0.014019896276295185,0.25,1.0,1.0
256,38.38712380641311,0.9877374053801053,0.00011842529056593776,0.007193878758698702,0.25,1.0,1.0
257,47.54367936786062,0.9962355054230636,1.7592523363418877e-05,0.006245197728276253,0.25,1.0,1.0
258,42.12207417042613,0.9926787080287441,5.817046985612251e-05,0.008867268450558186,0.25,1.0,1.0
259,37.765911553755785,0.976985804898082,0.00016267315368168056,0.010494773276150227,0.25,1.0,1.0
260,46.56555486242992,0.9906262993443492,2.201942515966948e-05,0.005842173006385565,0.25,1.0,1.0
261,43.65339429572285,0.9904949486071111,4.294900281820446e-05,0.006630402524024248,0.25,1.0,1.0
262,42.70436108174172,0.9911840330767065,4.773522596224211e-05,0.00729664321988821,0.25,1.0,1.0
263,38.61526604438356,0.9842086489109555,0.0001374031708110124,0.011712196283042431,0.25,1.0,1.0
264,42.931295857635554,0.9915220516938543,5.0854654546128586e-05,0.007090216502547264,0.25,1.0,1.0
265,37.87045960036772,0.9853294597721445,0.00016125920228660107,0.005922648124396801,0.25,1.0,1.0
266,41.237483150750975,0.9861374620436638,7.512924639740959e-05,0.007270439527928829,0.25,1.0,1.0
