sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling
0,31.95921979810512,0.9427606018338933,0.0006229642312973738,0.019945820793509483,1.0,1.0,1.0
1,32.92136319610361,0.9547494761376681,0.0005097233806736767,0.017734741792082787,1.0,1.0,1.0
2,30.68752772823816,0.8902311571840086,0.0007956931367516518,0.016812795773148537,1.0,1.0,1.0
3,33.95450926250165,0.9285229419322514,0.00037146356771700084,0.015757177025079727,1.0,1.0,1.0
4,26.942314899572875,0.921394268798539,0.001992608653381467,0.0213682409375906,1.0,1.0,1.0
5,37.21687324352142,0.9674756462513724,0.00017554120859131217,0.01431433204561472,1.0,1.0,1.0
6,33.652586384740395,0.9716558803807102,0.00035296616260893643,0.017179610207676888,1.0,1.0,1.0
7,33.9020678134823,0.9089147694912519,0.00040309326141141355,0.01472196914255619,1.0,1.0,1.0
8,33.1188322272978,0.9691558400297805,0.0004835175641346723,0.015274051576852798,1.0,1.0,1.0
9,29.920829161099537,0.9098450005654211,0.001004203804768622,0.02274068258702755,1.0,1.0,1.0
10,35.00528488258743,0.9876862962579334,0.00031213651527650654,0.01687714271247387,1.0,1.0,1.0
11,41.61838935612303,0.9729930317554127,6.879025022499263e-05,0.013737887144088745,1.0,1.0,1.0
12,28.708993455327686,0.9345879306520793,0.0013370099477469921,0.02073407918214798,1.0,1.0,1.0
13,35.03239747196037,0.9641374516059616,0.0003129379474557936,0.01924228109419346,1.0,1.0,1.0
14,42.83621170699736,0.9829654288473391,5.197789869271219e-05,0.014124411158263683,1.0,1.0,1.0
15,44.53824141609526,0.9797833389665074,3.5113069316139445e-05,0.01108755636960268,1.0,1.0,1.0
16,35.233158575107055,0.9269372744579926,0.00029871356673538685,0.015241925604641438,1.0,1.0,1.0
17,42.6993292968616,0.983726414103134,5.365480319596827e-05,0.013008507899940014,1.0,1.0,1.0
18,29.440582675058277,0.8874633453302931,0.0010976948542520404,0.018342817202210426,1.0,1.0,1.0
19,37.890118932479815,0.9638645353009088,0.00015713347238488495,0.015156297944486141,1.0,1.0,1.0
20,34.142213364912195,0.9595659688245832,0.00032966784783639014,0.02048960141837597,1.0,1.0,1.0
21,35.377269142113605,0.9175849306282767,0.00028960173949599266,0.01762033812701702,1.0,1.0,1.0
22,36.971768307998104,0.982568739814409,0.00019700803386513144,0.019794782623648643,1.0,1.0,1.0
23,41.07297313782374,0.9694236558780336,7.795657438691705e-05,0.01351215410977602,1.0,1.0,1.0
24,31.718986097768802,0.9476050855928284,0.0006703670369461179,0.021289752796292305,1.0,1.0,1.0
25,40.52378579341496,0.977066402626296,8.82071180967614e-05,0.012492304667830467,1.0,1.0,1.0
26,25.83777448157616,0.7786318390616129,0.002171996980905533,0.027766460552811623,1.0,1.0,1.0
27,38.61940829894193,0.9574077914481438,0.00013725909229833633,0.012006869539618492,1.0,1.0,1.0
28,33.152591254312554,0.9506202088851555,0.00042219492024742067,0.022629108279943466,1.0,1.0,1.0
29,27.235965816367298,0.9057510471628869,0.0018874650122597814,0.018130170181393623,1.0,1.0,1.0
30,28.24604020595516,0.8718572412358003,0.001495319651439786,0.01948082447052002,1.0,1.0,1.0
31,34.81807410965643,0.9695890973426855,0.00032662192825227976,0.019139446318149567,1.0,1.0,1.0
32,38.45159497375868,0.9582062314607596,0.00014268464292399585,0.014614243991672993,1.0,1.0,1.0
33,36.3671239310351,0.9490306686929074,0.00023061489628162235,0.015432164072990417,1.0,1.0,1.0
34,41.1155586901055,0.9687595734655303,7.723233284195885e-05,0.015605093911290169,1.0,1.0,1.0
35,34.64395204509627,0.953782374340122,0.0003427914925850928,0.019768202677369118,1.0,1.0,1.0
36,34.205266246909936,0.9622684266837266,0.00037198583595454693,0.017544729635119438,1.0,1.0,1.0
37,33.997237062191694,0.9561477625056317,0.00039664492942392826,0.019519682973623276,1.0,1.0,1.0
38,34.00351562688822,0.9511784252828858,0.0003934754931833595,0.02012941800057888,1.0,1.0,1.0
39,26.365231218097414,0.8617460400844521,0.0022945094387978315,0.029438147321343422,1.0,1.0,1.0
40,32.290724218703375,0.9195281842256626,0.000589184055570513,0.015139968134462833,1.0,1.0,1.0
41,29.48039299991678,0.9307325758305219,0.0011206456692889333,0.027945706620812416,1.0,1.0,1.0
42,40.80005449229994,0.9758760541123871,8.25951065053232e-05,0.012321551330387592,1.0,1.0,1.0
43,39.94398819769249,0.9818348545192811,0.00010109012509929016,0.013240502215921879,1.0,1.0,1.0
44,31.22889122196947,0.941317410922395,0.0007292089285328984,0.017967551946640015,1.0,1.0,1.0
45,31.862701018859827,0.9151842197705102,0.0006335072102956474,0.014522855170071125,1.0,1.0,1.0
46,31.54996570701513,0.9683319084477007,0.0006785818841308355,0.01649714633822441,1.0,1.0,1.0
47,28.687599976164186,0.8838159855641616,0.0013336431002244353,0.019455602392554283,1.0,1.0,1.0
48,37.42918125142725,0.9892710093158933,0.00017989649495575577,0.019191419705748558,1.0,1.0,1.0
49,40.11795519669364,0.9862064736115798,9.697872155811638e-05,0.01892031729221344,1.0,1.0,1.0
50,33.033705357829334,0.9669367530459098,0.0004442890640348196,0.01663057692348957,1.0,1.0,1.0
51,31.35735700549546,0.8908964707468078,0.0007275834796018898,0.01682574488222599,1.0,1.0,1.0
52,32.75291665656047,0.9542185066900263,0.0004143179103266448,0.01781565696001053,1.0,1.0,1.0
53,37.03376338256333,0.9612352171368796,0.00019775584223680198,0.015625597909092903,1.0,1.0,1.0
54,27.9037663943171,0.9082753871213376,0.0016188992885872722,0.02171635627746582,1.0,1.0,1.0
55,32.59835084747958,0.9240055054318548,0.0005449937889352441,0.016831038519740105,1.0,1.0,1.0
56,34.6673171431217,0.9691086269077009,0.0003391459467820823,0.015295911580324173,1.0,1.0,1.0
57,31.933785685606342,0.9480668928616434,0.0004802974290214479,0.020660649985074997,1.0,1.0,1.0
58,37.74283956092845,0.9757747592018116,0.00016810852685011923,0.016869714483618736,1.0,1.0,1.0
59,35.924077862592135,0.9754515172004453,0.00025550441932864487,0.014580476097762585,1.0,1.0,1.0
60,36.6575259272951,0.9652229057100166,0.00020433276949916035,0.017210351303219795,1.0,1.0,1.0
61,35.105884771753665,0.9716080771480429,0.0002833362959790975,0.017757927998900414,1.0,1.0,1.0
62,31.725864303925423,0.9414822822768276,0.0006710757152177393,0.022478152066469193,1.0,1.0,1.0
63,31.800745649753665,0.9121146977459099,0.0006553714629262686,0.029435453936457634,1.0,1.0,1.0
64,29.119301376588634,0.8721657443072712,0.0012239264324307442,0.019176242873072624,1.0,1.0,1.0
65,27.295581637304288,0.889111204900355,0.0018265483668074012,0.01690967194736004,1.0,1.0,1.0
66,35.78020355785839,0.9483554239689505,0.0002640440361574292,0.013373540714383125,1.0,1.0,1.0
67,25.775941426324355,0.8460586131314898,0.0023917893413454294,0.02525664120912552,1.0,1.0,1.0
68,34.203798723768735,0.9619167683678761,0.0003250501467846334,0.019799895584583282,1.0,1.0,1.0
69,30.21817371052943,0.9446392550803068,0.0009447475313208997,0.024979332461953163,1.0,1.0,1.0
70,36.77502217947405,0.9585059101744271,0.00020989426411688328,0.013412193395197392,1.0,1.0,1.0
71,30.687547174919743,0.9527143181769717,0.0008207806386053562,0.0260896235704422,1.0,1.0,1.0
72,31.237310299894183,0.9385283679958006,0.0007516785408370197,0.016414709389209747,1.0,1.0,1.0
73,31.243071800415926,0.9248503564181281,0.0007384626078419387,0.020634343847632408,1.0,1.0,1.0
74,34.64972513259769,0.9688026673930348,0.00033419221290387213,0.021669311448931694,1.0,1.0,1.0
75,32.552924352231734,0.9700439824531445,0.0005543908337131143,0.018180523067712784,1.0,1.0,1.0
76,33.740449194100066,0.945764695684415,0.00042149980436079204,0.019527101889252663,1.0,1.0,1.0
77,34.69619843095562,0.9500979983331433,0.00033876768429763615,0.012996390461921692,1.0,1.0,1.0
78,37.016556678798565,0.9726358184319901,0.00019828352378681302,0.014777454547584057,1.0,1.0,1.0
79,33.95839545356858,0.9537701864176121,0.00037376227555796504,0.021478261798620224,1.0,1.0,1.0
80,31.85078109776701,0.9449233736908227,0.0006223954260349274,0.016843626275658607,1.0,1.0,1.0
81,27.110109090759728,0.8891396795421592,0.0019308015471324325,0.022728124633431435,1.0,1.0,1.0
82,36.58586644052235,0.9402234861386942,0.00021905964240431786,0.01580226607620716,1.0,1.0,1.0
83,44.54276826982788,0.9913276256330242,3.4784756280714646e-05,0.012283937074244022,1.0,1.0,1.0
