sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,zeta
0,16.689940727344652,0.5554352382020443,2950.101806640625,21.53334617614746,0.04845482624585157,380.7405090332031,375.16558837890625,False,200,0.8
1,18.731386529896792,0.7015149394542572,12091.421875,51.72752380371094,0.042113662323534175,931.7965087890625,950.7636108398438,False,200,0.8
2,25.584242336621983,0.772870884402112,1381.6785888671875,23.130550384521484,0.05983660709436955,514.7506103515625,732.261962890625,False,200,0.8
3,26.225642993732777,0.8401155009717028,790.2112426757812,31.678958892822266,0.03863034625941565,610.43896484375,599.059814453125,False,200,0.8
4,20.029016685576657,0.6665514410474217,240.87448120117188,10.711195945739746,0.03634551826552693,188.302978515625,156.8626251220703,False,200,0.8
5,19.80129200506233,0.6714466620480278,238.1457061767578,7.716058254241943,0.023304782452355267,212.1734619140625,156.83853149414062,False,200,0.8
6,20.208503386949754,0.633421377700104,27.17823028564453,2.935654878616333,0.05934492823576891,41.32557678222656,59.02552795410156,False,200,0.8
7,26.980207548907305,0.8147232538354424,1489.1490478515625,29.682331085205078,0.0445131018192114,870.899658203125,866.3099975585938,False,200,0.8
8,18.169183405272427,0.6338385817395034,5468.50341796875,37.76921463012695,0.040314480520657045,734.3673095703125,601.513916015625,False,200,0.8
9,19.09497984106465,0.7681428168354306,6094.2509765625,39.66703796386719,0.0328162440589951,639.7719116210938,708.364501953125,False,200,0.8
10,20.934365740926623,0.8608759405494233,3.705881118774414,1.7513049840927124,0.033572015112573544,29.01528549194336,21.56390953063965,False,200,0.8
11,25.70509374941547,0.8208348642964054,2525.49267578125,42.37876510620117,0.040838067008539175,868.2483520507812,969.93994140625,False,200,0.8
12,19.230396256512257,0.7109956680142542,8220.1123046875,60.535614013671875,0.05686167296330586,813.1863403320312,832.6101684570312,False,200,0.8
13,29.723721533206525,0.8859951515264917,48.26161193847656,14.41541862487793,0.03045512882858716,217.288818359375,213.12677001953125,False,200,0.8
14,25.964642276874542,0.8478702241319382,84.36891174316406,10.555949211120605,0.03962231329993495,186.11752319335938,182.6431427001953,False,200,0.8
15,19.479275563368063,0.6920980144202251,381.98309326171875,7.5847063064575195,0.031376224827181755,203.8285675048828,184.22109985351562,False,200,0.8
16,24.47926352015646,0.8034231408660889,330.4208984375,16.025999069213867,0.04537144082275024,281.05169677734375,304.93798828125,False,200,0.8
17,29.288354675535764,0.8850930436034721,324.6444091796875,24.84392738342285,0.05921581775597847,514.60302734375,525.231689453125,False,200,0.8
18,21.41974519066228,0.6772093314474922,1301.8585205078125,23.72006607055664,0.04173522394964861,439.974365234375,432.5130615234375,False,200,0.8
19,19.165189093900885,0.6391663058393223,998.4874267578125,12.023103713989258,0.0507300824461079,263.7850036621094,291.9378967285156,False,200,0.8
20,27.468991886676648,0.8662254267186695,574.4385986328125,40.12368392944336,0.03803646213922644,683.6611938476562,612.2410278320312,False,200,0.8
21,20.79294925078347,0.7132631387268179,163.9400634765625,7.874871730804443,0.053952848009052666,123.45020294189453,140.3543701171875,False,200,0.8
