sample_idx,psnr,ssim,mse,post_std_mean,sigma_used,alpha,scaling,clip,lambda_,lambda_rd,anis_param,zeta
29,40.00123544128485,0.9867151707134011,9.985089855035767e-05,0.006757700815796852,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
30,25.160843566782063,0.9336073904137739,0.003042662050575018,0.008541091345250607,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
31,19.463139787531357,0.8274623954152521,0.011208275333046913,0.018016649410128593,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
32,39.69620882111154,0.9788259549683461,0.0001071311708074063,0.004837441258132458,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
33,32.64519935263244,0.9805357679494026,0.0005433501210063696,0.005535679403692484,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
34,38.677001084168744,0.970940155249139,0.00013541130465455353,0.005352528300136328,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
35,25.476576440666257,0.8903119546756286,0.002829876961186528,0.015508127398788929,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
36,36.856778843428195,0.9774436051846781,0.00020201106963213533,0.004842086229473352,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
37,23.614936534845462,0.9325684457301316,0.004331436473876238,0.01079176552593708,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
38,35.362942505763336,0.9708130525730712,0.0002877232909668237,0.007796042133122683,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
39,34.202663904732,0.9768678778772876,0.0003775257500819862,0.011440909467637539,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
40,29.29331073818348,0.9505936054299491,0.0011748768156394362,0.008006193675100803,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
41,25.76846665227173,0.9284516255339075,0.0026342738419771194,0.011910788714885712,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
42,39.409938157314805,0.957171965801802,0.00011375380563549697,0.007158814463764429,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
43,38.55947614705712,0.9646550487838417,0.00013904646039009094,0.0076634385623037815,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
44,33.04418607508567,0.9615127734832227,0.0004800898313988,0.007974314503371716,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
45,39.736036890467894,0.981408583259804,0.00010337558342143893,0.0039128814823925495,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
46,35.104619678773034,0.9781785174758318,0.00029932078905403614,0.006039645988494158,0.07,1.0,1.0,True,100,1e-05,0.0004641588833612,0.9
47,27.130179866234137,0.9516027679491953,0.0019088932313024998,0.010214265435934067,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
48,34.31370551775617,0.9766097876432633,0.0003686127020046115,0.010863435454666615,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
49,26.089160626387006,0.9275779763268599,0.0024522002786397934,0.006296276580542326,0.07,1.0,1.0,True,100,1e-05,0.2154434690031882,0.9
50,27.756306574067025,0.9093338836318937,0.0014976332895457745,0.009218426421284676,0.07,1.0,1.0,True,100,1e-05,0.2154434690031882,0.9
51,37.21999893870911,0.9715998513918174,0.00018863343575503677,0.004295527935028076,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
52,37.76019627855267,0.9635466069667393,0.00013079939526505768,0.004011882469058037,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
53,27.830749651705247,0.9460132386846808,0.001646003220230341,0.008029242977499962,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
54,29.01798476992539,0.9683743620635432,0.0012525584315881133,0.008433789946138859,0.07,1.0,1.0,True,100,1e-05,0.0004641588833612,0.9
55,38.6584676298388,0.9768476668741435,0.00013501432840712368,0.0049912892282009125,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
56,30.907675630998185,0.9547658498688256,0.000806029187515378,0.006845408584922552,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
57,35.173439394382925,0.9678285502597028,0.0002277953753946349,0.007435700390487909,0.07,1.0,1.0,True,100,1e-05,0.001,0.9
58,22.912019623989906,0.8972942600357351,0.005112951621413231,0.029339447617530823,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
59,33.57126605553381,0.9873051139746165,0.00043921740143559873,0.010566864162683487,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
60,37.740738880944185,0.9614109393320709,0.0001592270127730444,0.004378614481538534,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
61,24.168073997446488,0.9063360230801137,0.0035162786953151226,0.00869927741587162,0.07,1.0,1.0,True,100,1e-05,0.0004641588833612,0.9
62,27.751114515801667,0.9505591040940415,0.001675893901847303,0.008921539410948753,0.07,1.0,1.0,True,100,1e-05,0.0046415888336127,0.9
63,23.224865136872815,0.8684079667676569,0.004721451550722122,0.01667063683271408,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
64,21.530062869551728,0.8759923835520527,0.007025531493127346,0.01428329199552536,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
65,34.52224752398414,0.9795645922422409,0.0003459111612755805,0.006046144757419825,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
66,29.905234965762354,0.966355950885882,0.0010213467758148909,0.007051975000649691,0.07,1.0,1.0,True,100,1e-05,0.0464158883361277,0.9
67,33.69010633111863,0.9679313327567373,0.0003866397019010037,0.008374745957553387,0.07,1.0,1.0,True,100,1e-05,0.0004641588833612,0.9
68,35.312065078722156,0.9659087839925621,0.00025183940306305885,0.006076969671994448,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
69,26.07863216285491,0.9555904036397412,0.002450585598126054,0.010394586250185966,0.07,1.0,1.0,True,100,1e-05,0.0021544346900318,0.9
70,28.760417782393915,0.9665126839443134,0.001328804180957377,0.005934162065386772,0.07,1.0,1.0,True,100,1e-05,0.01,0.9
71,21.240178635728185,0.8242817000392383,0.007227098103612661,0.013768562115728855,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
72,44.115434009465446,0.9946058987802273,3.874536560033448e-05,0.005805687978863716,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
73,20.369505566375025,0.8563215932741464,0.009029945358633995,0.009248736314475536,0.07,1.0,1.0,True,100,1e-05,0.0215443469003188,0.9
